"","gene","module"
"ENSSTOG00000031142","ENSSTOG00000031142",2
"ENSSTOG00000031217","ENSSTOG00000031217",1
"ENSSTOG00000031258","ENSSTOG00000031258",5
"ENSSTOG00000031336","ENSSTOG00000031336",1
"AGL_containing_ENSSTOG00000031387","AGL_containing_ENSSTOG00000031387",6
"ENSSTOG00000031411","ENSSTOG00000031411",1
"ENSSTOG00000031420","ENSSTOG00000031420",4
"ENSSTOG00000031516","ENSSTOG00000031516",4
"FKBP1A_ENSSTOG00000031532","FKBP1A_ENSSTOG00000031532",2
"ENSSTOG00000031635","ENSSTOG00000031635",5
"MAP4_like","MAP4_like",1
"ENSSTOG00000031693","ENSSTOG00000031693",0
"TUB_like","TUB_like",1
"ENSSTOG00000031729","ENSSTOG00000031729",0
"ENSSTOG00000031767","ENSSTOG00000031767",0
"ENSSTOG00000031773","ENSSTOG00000031773",2
"ENSSTOG00000031774","ENSSTOG00000031774",2
"ENSSTOG00000031793","ENSSTOG00000031793",0
"ENSSTOG00000031812","ENSSTOG00000031812",5
"ENSSTOG00000031814","ENSSTOG00000031814",0
"ENSSTOG00000031828","ENSSTOG00000031828",2
"DMRTC1B_like","DMRTC1B_like",0
"ENSSTOG00000031905","ENSSTOG00000031905",6
"ENSSTOG00000031914","ENSSTOG00000031914",1
"ING2","ING2",2
"ENSSTOG00000032022","ENSSTOG00000032022",2
"ENSSTOG00000032095","ENSSTOG00000032095",0
"ENSSTOG00000032207","ENSSTOG00000032207",6
"ENSSTOG00000032244","ENSSTOG00000032244",1
"ENSSTOG00000032286","ENSSTOG00000032286",17
"ENSSTOG00000032375","ENSSTOG00000032375",0
"PPP1R2_like","PPP1R2_like",5
"ENSSTOG00000032418","ENSSTOG00000032418",1
"ENSSTOG00000032431","ENSSTOG00000032431",7
"NCL_like","NCL_like",1
"ENSSTOG00000032437","ENSSTOG00000032437",2
"COX6B1_ENSSTOG00000032450","COX6B1_ENSSTOG00000032450",1
"ENSSTOG00000032498","ENSSTOG00000032498",2
