"","gene","module"
"Lrrc71","Lrrc71",0
"Slmap","Slmap",6
"Arhgef11","Arhgef11",15
"Etv3","Etv3",1
"Flnb","Flnb",1
"Slc22a8","Slc22a8",12
"Slc22a6","Slc22a6",12
"Chrm1","Chrm1",0
"Slc3a2","Slc3a2",3
"LOC101959835","LOC101959835",1
"Wdr74","Wdr74",6
"Stx5","Stx5",0
"Nxf1","Nxf1",2
"Tmem223","Tmem223",15
"Tmem179b","Tmem179b",2
"Dnase1l3","Dnase1l3",0
"Taf6l","Taf6l",2
"Polr2g","Polr2g",5
"Zbtb3","Zbtb3",1
"Ttc9c","Ttc9c",4
"Hnrnpul2","Hnrnpul2",1
"Gng3","Gng3",1
"Bscl2","Bscl2",7
"Lrrn4cl","Lrrn4cl",12
"Ubxn1","Ubxn1",2
"LOC101965457","LOC101965457",2
"Mettl12","Mettl12",1
"CUNH11orf98","CUNH11orf98",4
"Ints5","Ints5",6
"Ganab","Ganab",1
"B3gat3","B3gat3",4
"Rom1","Rom1",0
"Eml3","Eml3",6
"Mta2","Mta2",0
"Tut1","Tut1",1
"Ahnak","Ahnak",4
"Ankrd28","Ankrd28",2
"Asrgl1","Asrgl1",4
"Incenp","Incenp",3
"Fth1","Fth1",10
"Best1","Best1",4
"Rab3il1","Rab3il1",0
"Fads3","Fads3",2
"Fads2","Fads2",0
"Fads1","Fads1",0
"Fen1","Fen1",2
"Tmem258","Tmem258",2
"Myrf","Myrf",10
"Dagla","Dagla",7
"Syt7","Syt7",7
"Lrrc10b","Lrrc10b",0
"Galnt15","Galnt15",5
"Ppp1r32","Ppp1r32",4
"Sdhaf2","Sdhaf2",2
"Cpsf7","Cpsf7",5
"Tmem216","Tmem216",4
"Tmem138","Tmem138",0
"CYB561A3_like","CYB561A3_like",1
"Tkfc","Tkfc",1
"Ddb1","Ddb1",2
"Vwce","Vwce",0
"Dph3","Dph3",6
"Vps37c","Vps37c",3
"Slc15a3","Slc15a3",2
"Tmem132a","Tmem132a",0
"Tmem109","Tmem109",1
"Prpf19","Prpf19",2
"Zp1","Zp1",0
"Mmadhc","Mmadhc",2
"Oxnad1","Oxnad1",0
"Ccdc86","Ccdc86",1
"LOC106145083","LOC106145083",4
"Ms4a13","Ms4a13",1
"Rftn1","Rftn1",1
"LOC101954463","LOC101954463",0
"Mrpl16","Mrpl16",2
"Stx3","Stx3",3
"Patl1","Patl1",6
"Osbp","Osbp",4
"Plcl2","Plcl2",1
"Dtx4","Dtx4",6
"Fam111a","Fam111a",2
"Cntf","Cntf",8
"Zfp91","Zfp91",1
"Lpxn","Lpxn",3
"Tbc1d5","Tbc1d5",4
"Satb1","Satb1",2
"Kcnh8","Kcnh8",1
"Ctnnd1","Ctnnd1",1
"Efhb","Efhb",1
"Selenoh","Selenoh",2
"Tmx2","Tmx2",1
"Med19","Med19",1
"Zdhhc5","Zdhhc5",1
"Clp1","Clp1",1
"Ypel4","Ypel4",4
"Serping1","Serping1",2
"Ube2l6","Ube2l6",5
"Rab5a","Rab5a",2
"Timm10","Timm10",2
"Slc43a1","Slc43a1",1
"Slc43a3","Slc43a3",9
"P2rx3","P2rx3",0
"Ssrp1","Ssrp1",1
"Tnks1bp1","Tnks1bp1",0
"Aplnr","Aplnr",8
"Lrrc55","Lrrc55",1
"LOC101973650","LOC101973650",6
"Kat2b","Kat2b",10
"Znf385d","Znf385d",4
"SULT1B1_containing_gene14495","SULT1B1_containing_gene14495",1
"Ythdc1","Ythdc1",1
"Lypd6","Lypd6",5
"RPS3A_gene1450","RPS3A_gene1450",2
"Tmprss11a","Tmprss11a",5
"UBE2E2_gene1451","UBE2E2_gene1451",5
"Uba6","Uba6",3
"Cenpc","Cenpc",6
"Epha5","Epha5",2
"Adgrl3","Adgrl3",4
"Arf6","Arf6",0
"Nemf","Nemf",2
"Klhdc2","Klhdc2",0
"Klhdc1","Klhdc1",2
"Pole2","Pole2",0
"Dnaaf2","Dnaaf2",0
"Mgat2","Mgat2",4
"Rpl36al","Rpl36al",2
"Rps29","Rps29",3
"Ube2e1","Ube2e1",1
"Nkiras1","Nkiras1",0
"Mdga2","Mdga2",6
"Mis18bp1","Mis18bp1",0
"Fancm","Fancm",5
"Fkbp3","Fkbp3",1
"Prpf39","Prpf39",3
"Togaram1","Togaram1",13
"Rpl15","Rpl15",1
"Klhl28","Klhl28",3
"CUNH14orf28","CUNH14orf28",1
"Diaph2","Diaph2",6
"Pcdh19","Pcdh19",2
"Tnmd","Tnmd",12
"Tspan6","Tspan6",2
"Srpx2","Srpx2",0
"Sytl4","Sytl4",5
"Nr1d2","Nr1d2",1
"Cstf2","Cstf2",1
"Nxph1","Nxph1",4
"Ica1","Ica1",1
"Glcci1","Glcci1",1
"Umad1","Umad1",7
"Rpa3","Rpa3",3
"Mios","Mios",1
"Lypd6b","Lypd6b",3
"C1galt1","C1galt1",3
"Asns","Asns",1
"Tac1","Tac1",4
"Dlx5","Dlx5",1
"Dlx6","Dlx6",0
"Sem1","Sem1",2
"Thrb","Thrb",1
"Slc25a13","Slc25a13",2
"Dync1i1","Dync1i1",4
"Pdk4","Pdk4",1
"Asb4","Asb4",5
"Pon2","Pon2",8
"Pon3","Pon3",18
"Ppp1r9a","Ppp1r9a",4
"Peg10","Peg10",4
"Sgce","Sgce",0
"Casd1","Casd1",4
"Col1a2","Col1a2",12
"Bet1","Bet1",6
"Rarb","Rarb",2
"Igfbp5","Igfbp5",12
"Igfbp2","Igfbp2",12
"Rpl37a","Rpl37a",1
"Smarcal1","Smarcal1",3
"March4","March4",3
"LOC110598799","LOC110598799",1
"Xrcc5","Xrcc5",5
"Top2b","Top2b",2
"Tmem169","Tmem169",1
"Pecr","Pecr",1
"Mreg","Mreg",0
"Fn1","Fn1",12
"Atic","Atic",2
"Bard1","Bard1",0
"Ngly1","Ngly1",5
"Vwc2l","Vwc2l",0
"SPAG16_like_gene14654","SPAG16_like_gene14654",4
"Ikzf2","Ikzf2",11
"Erbb4","Erbb4",5
"Oxsm","Oxsm",1
"Lancl1","Lancl1",1
"Lmo3","Lmo3",3
"Mgst1","Mgst1",2
"Dera","Dera",0
"Lrrc3b","Lrrc3b",0
"Strap","Strap",2
"Eps8","Eps8",2
"Ptpro","Ptpro",4
"Rerg","Rerg",6
"Arhgdib","Arhgdib",1
"Mgp","Mgp",2
"Wbp11","Wbp11",2
"H2AFJ","H2AFJ",2
"Plbd1","Plbd1",0
"Atf7ip","Atf7ip",0
"Grin2b","Grin2b",1
"Emp1","Emp1",2
"Fam234b","Fam234b",4
"Hebp1","Hebp1",3
"Kif5c","Kif5c",4
"Nek10","Nek10",0
"LOC110598805","LOC110598805",1
"Ddx47","Ddx47",3
"Apold1","Apold1",2
"Cdkn1b","Cdkn1b",1
"Gpr19","Gpr19",1
"Crebl2","Crebl2",9
"Dusp16","Dusp16",1
"Slc4a7","Slc4a7",4
"Borcs5","Borcs5",3
"Mansc1","Mansc1",2
"Lrp6","Lrp6",1
"Etv6","Etv6",5
"LOC110598808","LOC110598808",1
"Smim10l1","Smim10l1",4
"Plpp2","Plpp2",4
"Mier2","Mier2",5
"C2cd4c","C2cd4c",1
"Shc2","Shc2",6
"Tpgs1","Tpgs1",1
"Cdc34","Cdc34",5
"Bsg","Bsg",2
"Hcn2","Hcn2",1
"Polrmt","Polrmt",7
"Fgf22","Fgf22",1
"Rnf126","Rnf126",5
"Fstl3","Fstl3",4
"Prss57","Prss57",1
"Palm","Palm",1
"Misp","Misp",1
"Ptbp1","Ptbp1",4
"Plppr3","Plppr3",0
"Cmc1","Cmc1",0
"Med16","Med16",4
"R3hdm4","R3hdm4",5
"Kiss1r","Kiss1r",1
"Arid3a","Arid3a",1
"Wdr18","Wdr18",0
"Grin3b","Grin3b",8
"Tmem259","Tmem259",2
"Azi2","Azi2",0
"Cnn2","Cnn2",4
"Abca7","Abca7",1
"Arhgap45","Arhgap45",12
"Polr2e","Polr2e",2
"Gpx4","Gpx4",2
"Sbno2","Sbno2",4
"Stk11","Stk11",2
"Cbarp","Cbarp",1
"Atp5d","Atp5d",2
"LOC110598826","LOC110598826",1
"Zcwpw2","Zcwpw2",3
"Midn","Midn",1
"Cirbp","Cirbp",13
"CUNH19orf24","CUNH19orf24",0
"Efna2","Efna2",3
"LOC101977304","LOC101977304",6
"Ndufs7","Ndufs7",2
"Gamt","Gamt",1
"Dazap1","Dazap1",2
"LOC110598812","LOC110598812",0
"Rps15","Rps15",2
"Apc2","Apc2",4
"CUNH19orf25","CUNH19orf25",15
"Pcsk4","Pcsk4",4
"Reep6","Reep6",4
"Adamtsl5","Adamtsl5",4
"Plk5","Plk5",2
"Mex3d","Mex3d",1
"LINC00693_like","LINC00693_like",1
"Mbd3","Mbd3",2
"LOC101955110","LOC101955110",2
"Tcf3","Tcf3",0
"Onecut3","Onecut3",2
"Atp8b3","Atp8b3",2
"Rexo1","Rexo1",2
"Klf16","Klf16",1
"Abhd17a","Abhd17a",3
"Scamp4","Scamp4",1
"Adat3","Adat3",1
"Epc2","Epc2",1
"Rbms3","Rbms3",4
"Csnk1g2","Csnk1g2",2
"Btbd2","Btbd2",7
"Mknk2","Mknk2",1
"Mob3a","Mob3a",5
"Izumo4","Izumo4",5
"Ap3d1","Ap3d1",1
"Dot1l","Dot1l",0
"Plekhj1","Plekhj1",5
"Sf3a2","Sf3a2",2
"Amh","Amh",2
"Tgfbr2","Tgfbr2",0
"Oaz1","Oaz1",7
"CUNH19orf35","CUNH19orf35",2
"Lingo3","Lingo3",4
"Lsm7","Lsm7",2
"Sppl2b","Sppl2b",6
"Tmprss9","Tmprss9",2
"Timm13","Timm13",2
"Lmnb2","Lmnb2",6
"Gadd45b","Gadd45b",1
"Gadl1","Gadl1",1
"Gng7","Gng7",4
"Diras1","Diras1",7
"Slc39a3","Slc39a3",2
"Sgta","Sgta",2
"Thop1","Thop1",5
"Znf57","Znf57",1
"Znf77","Znf77",1
"Tle6","Tle6",2
"Stt3b","Stt3b",6
"Tle2","Tle2",4
"Aes","Aes",1
"Gna11","Gna11",0
"Gna15","Gna15",0
"Ncln","Ncln",5
"Celf5","Celf5",2
"Nfic","Nfic",1
"Smim24","Smim24",3
"Dohh","Dohh",1
"Osbpl10","Osbpl10",0
"Fzr1","Fzr1",3
"Mfsd12","Mfsd12",7
"Hmg20b","Hmg20b",2
"Gipc3","Gipc3",0
"Tbxa2r","Tbxa2r",1
"Cactin","Cactin",0
"Pip5k1c","Pip5k1c",4
"Apba3","Apba3",2
"Gpd1l","Gpd1l",3
"Mrpl54","Mrpl54",2
"Matk","Matk",4
"Zfr2","Zfr2",4
"LOC106145104","LOC106145104",6
"Atcay","Atcay",7
"Nmrk2","Nmrk2",6
"Dapk3","Dapk3",6
"Eef2","Eef2",7
"Pias4","Pias4",3
"Cmtm8","Cmtm8",0
"Zbtb7a","Zbtb7a",1
"LOC110598816","LOC110598816",2
"Map2k2","Map2k2",2
"Sirt6","Sirt6",3
"Ankrd24","Ankrd24",3
"Ebi3","Ebi3",2
"Ccdc94","Ccdc94",0
"Shd","Shd",0
"Fsd1","Fsd1",4
"Cmtm7","Cmtm7",0
"Stap2","Stap2",2
"Mpnd","Mpnd",4
"Sh3gl1","Sh3gl1",0
"Chaf1a","Chaf1a",2
"Ubxn6","Ubxn6",1
"Hdgfl2","Hdgfl2",5
"Plin4","Plin4",15
"Plin5","Plin5",2
"Sema6b","Sema6b",7
"Cmtm6","Cmtm6",3
"Tnfaip8l1","Tnfaip8l1",1
"Mydgf","Mydgf",2
"Dpp9","Dpp9",1
"LOC110598824","LOC110598824",1
"LOC110598825","LOC110598825",0
"Fem1a","Fem1a",1
"Ticam1","Ticam1",2
"Plin3","Plin3",10
"Dync1li1","Dync1li1",2
"Uhrf1","Uhrf1",1
"Kdm4b","Kdm4b",0
"Ptprs","Ptprs",6
"PTPRS_containing","PTPRS_containing",1
"LOC106145105","LOC106145105",2
"Safb2","Safb2",6
"Safb","Safb",0
"CUNH19orf70","CUNH19orf70",2
"Hsd11b1l","Hsd11b1l",1
"Rpl36","Rpl36",2
"Lonp1","Lonp1",2
"Prr22","Prr22",4
"Dus3l","Dus3l",6
"Ndufa11","Ndufa11",2
"Vmac","Vmac",10
"Cnot10","Cnot10",2
"Caps","Caps",0
"Ranbp3","Ranbp3",8
"Rfx2","Rfx2",2
"Mllt1","Mllt1",6
"Clpp","Clpp",2
"Alkbh7","Alkbh7",7
"LOC110598818","LOC110598818",1
"Gtf2f1","Gtf2f1",2
"LOC101958018","LOC101958018",0
"Khsrp","Khsrp",6
"Slc25a41","Slc25a41",5
"Slc25a23","Slc25a23",4
"Crb3","Crb3",0
"Dennd1c","Dennd1c",3
"Tubb4a","Tubb4a",1
"LOC110598819","LOC110598819",3
"C3_gene14935","C3_gene14935",2
"Gpr108","Gpr108",6
"Trip10","Trip10",3
"Vav1","Vav1",1
"Insr","Insr",6
"ARHGEF18_like","ARHGEF18_like",1
"Pex11g","Pex11g",2
"Tex45","Tex45",3
"Znf358","Znf358",6
"Mcoln1","Mcoln1",1
"Pnpla6","Pnpla6",1
"Camsap3","Camsap3",0
"Xab2","Xab2",6
"Pet100","Pet100",1
"Stxbp2","Stxbp2",2
"Retn","Retn",4
"Trappc5","Trappc5",2
"Evi5l","Evi5l",1
"Glb1","Glb1",1
"Prr36","Prr36",7
"Map2k7","Map2k7",4
"Tgfbr3l","Tgfbr3l",0
"Snapc2","Snapc2",6
"Ctxn1","Ctxn1",7
"Timm44","Timm44",5
"Elavl1","Elavl1",6
"Ccl25","Ccl25",3
"Fbn3","Fbn3",3
"Cers4","Cers4",15
"Cd320","Cd320",4
"Ndufa7","Ndufa7",2
"Rps28","Rps28",2
"Kank3","Kank3",0
"Angptl4","Angptl4",4
"Rab11b","Rab11b",7
"Tmppe","Tmppe",0
"March2","March2",2
"Hnrnpm","Hnrnpm",6
"Pram1","Pram1",0
"Znf414","Znf414",0
"Myo1f","Myo1f",4
"Adamts10","Adamts10",6
"ZNF558_like_gene14999","ZNF558_like_gene14999",1
"RAB28","RAB28",1
"Crtap","Crtap",0
"Susd5","Susd5",5
"Lsm8","Lsm8",1
"Cttnbp2","Cttnbp2",1
"Fbxl2","Fbxl2",4
"Wnt2","Wnt2",0
"St7","St7",1
"Capza2","Capza2",2
"Met","Met",18
"Cav1","Cav1",5
"Cav2","Cav2",3
"Tes","Tes",3
"Ubp1","Ubp1",1
"Mdfic","Mdfic",2
"Foxp2","Foxp2",5
"SMIM30_gene15045","SMIM30_gene15045",0
"Gpr85","Gpr85",2
"Bmt2","Bmt2",1
"Tmem168","Tmem168",0
"Clasp2","Clasp2",4
"TSG101","TSG101",2
"LOC110598835","LOC110598835",2
"Rb1cc1","Rb1cc1",5
"St18","St18",4
"Pcmtd1","Pcmtd1",0
"Sntg1","Sntg1",4
"Snai2","Snai2",2
"Efcab1","Efcab1",0
"Ube2v2","Ube2v2",1
"Mcm4","Mcm4",1
"Prkdc","Prkdc",6
"Cebpd","Cebpd",6
"Spidr","Spidr",1
"Pdcd6ip","Pdcd6ip",2
"SPIDR_containing","SPIDR_containing",1
"ZNF724_like_gene15084","ZNF724_like_gene15084",0
"Znf781","Znf781",1
"Negr1","Negr1",4
"Zranb2","Zranb2",0
"Ptger3","Ptger3",2
"Cth","Cth",1
"Ankrd13c","Ankrd13c",5
"Srsf11","Srsf11",1
"Lrrc40","Lrrc40",4
"Lrrc7","Lrrc7",0
"Depdc1","Depdc1",1
"Mbd5","Mbd5",1
"Rpe65","Rpe65",4
"Wls","Wls",4
"Diras3","Diras3",0
"Gng12","Gng12",2
"Gadd45a","Gadd45a",5
"Serbp1","Serbp1",6
"Il12rb2","Il12rb2",2
"Arpp21","Arpp21",2
"Slc35d1","Slc35d1",1
"Mier1","Mier1",3
"Wdr78","Wdr78",4
"Sgip1","Sgip1",1
"Pde4b","Pde4b",6
"Stac","Stac",2
"Lepr","Lepr",0
"LOC101961272","LOC101961272",0
"Cnot4","Cnot4",3
"Nup205","Nup205",1
"STMP1_like_gene15128","STMP1_like_gene15128",4
"Slc13a4","Slc13a4",12
"Mtpn","Mtpn",5
"Chrm2","Chrm2",1
"Ptn","Ptn",3
"Dgki","Dgki",2
"Creb3l2","Creb3l2",1
"Dclk3","Dclk3",1
"Trim24","Trim24",1
"Kiaa1549","Kiaa1549",0
"Zc3hav1l","Zc3hav1l",1
"Zc3hav1","Zc3hav1",1
"Ttc26","Ttc26",3
"Ubn2","Ubn2",1
"Trank1","Trank1",1
"LUC7L2","LUC7L2",5
"Clec2l","Clec2l",1
"Hipk2","Hipk2",1
"Tbxas1","Tbxas1",1
"Parp12","Parp12",15
"Kdm7a","Kdm7a",1
"Slc37a3","Slc37a3",6
"Mkrn1","Mkrn1",5
"Dennd2a","Dennd2a",1
"Adck2","Adck2",1
"LOC110598844","LOC110598844",0
"Ndufb2","Ndufb2",2
"Braf","Braf",6
"Epm2aip1","Epm2aip1",0
"Mrps33","Mrps33",0
"Tmem178b","Tmem178b",11
"Agk","Agk",3
"Kiaa1147","Kiaa1147",11
"Ssbp1","Ssbp1",4
"Mlh1","Mlh1",1
"Tas2r3","Tas2r3",0
"Tas2r4","Tas2r4",2
"Clec5a","Clec5a",2
"Mgam","Mgam",6
"Lrrfip2","Lrrfip2",2
"Nceh1","Nceh1",2
"Tnfsf10","Tnfsf10",1
"Ghsr","Ghsr",1
"Fndc3b","Fndc3b",1
"Pld1","Pld1",5
"Tnik","Tnik",1
"Eif5a2","Eif5a2",0
"MBD5_containing","MBD5_containing",2
"Rpl22l1","Rpl22l1",0
"Slc7a14","Slc7a14",2
"Cldn11","Cldn11",8
"Skil","Skil",1
"Prkci","Prkci",1
"Phc3","Phc3",1
"Sec62","Sec62",0
"Golga4","Golga4",9
"Lrriq4","Lrriq4",0
"Lrrc34","Lrrc34",1
"Mynn","Mynn",6
"Actrt3","Actrt3",1
"Mecom","Mecom",2
"EGFEM1P_containing_gene15217","EGFEM1P_containing_gene15217",2
"Golim4","Golim4",2
"Serpini1","Serpini1",8
"Pdcd10","Pdcd10",5
"Wdr49","Wdr49",6
"Zbbx","Zbbx",0
"Itga9","Itga9",2
"Rab37","Rab37",1
"Slc9a3r1","Slc9a3r1",10
"Nat9","Nat9",2
"Tmem104","Tmem104",4
"Fdxr","Fdxr",2
"Fads6","Fads6",6
"Ush1g","Ush1g",3
"Hid1","Hid1",8
"Cdr2l","Cdr2l",1
"Mrpl58","Mrpl58",1
"Atp5h","Atp5h",2
"Kctd2","Kctd2",1
"Armc7","Armc7",4
"Nt5c","Nt5c",1
"Jpt1","Jpt1",2
"Sumo2","Sumo2",6
"Nup85","Nup85",4
"Gga3","Gga3",10
"Mrps7","Mrps7",2
"Mif4gd","Mif4gd",3
"Slc25a19","Slc25a19",1
"Ctdspl","Ctdspl",1
"Grb2","Grb2",2
"Tmem94","Tmem94",6
"Caskin2","Caskin2",0
"Tsen54","Tsen54",6
"Llgl2","Llgl2",4
"Myo15b","Myo15b",3
"Recql5","Recql5",3
"Smim5","Smim5",0
"Sap30bp","Sap30bp",5
"Itgb4","Itgb4",1
"Galk1","Galk1",1
"H3F3B","H3F3B",1
"Unk","Unk",0
"Unc13d","Unc13d",0
"Wbp2","Wbp2",2
"Trim47","Trim47",4
"Trim65","Trim65",6
"Mrpl38","Mrpl38",2
"Plcd1","Plcd1",15
"Fbf1","Fbf1",6
"Acox1","Acox1",5
"Ten1","Ten1",1
"Evpl","Evpl",2
"Srp68","Srp68",5
"Exoc7","Exoc7",2
"Foxj1","Foxj1",2
"Dlec1","Dlec1",2
"Rnf157","Rnf157",1
"Ubald2","Ubald2",2
"Prpsap1","Prpsap1",1
"Sphk1","Sphk1",2
"Ube2o","Ube2o",10
"Rhbdf2","Rhbdf2",2
"Orc4","Orc4",6
"Cygb","Cygb",7
"Prcd","Prcd",2
"LOC101970379","LOC101970379",2
"St6galnac2","St6galnac2",0
"St6galnac1","St6galnac1",0
"Mxra7","Mxra7",0
"Jmjd6","Jmjd6",1
"Mettl23","Mettl23",0
"Srsf2","Srsf2",2
"Mfsd11","Mfsd11",2
"ACAA1_like","ACAA1_like",1
"Mgat5b","Mgat5b",4
"LOC106145114","LOC106145114",2
"Sec14l1","Sec14l1",6
"UBE4A_gene15314","UBE4A_gene15314",5
"Sept9","Sept9",2
"Tnrc6c","Tnrc6c",9
"Tmc6","Tmc6",1
"Tmc8","Tmc8",2
"Syngr2","Syngr2",2
"Tk1","Tk1",1
"Afmid","Afmid",1
"Birc5","Birc5",1
"LOC101975053","LOC101975053",0
"Socs3","Socs3",6
"Pgs1","Pgs1",5
"Dnah17","Dnah17",0
"Cyth1","Cyth1",1
"Usp36","Usp36",4
"Timp2","Timp2",1
"Lgals3bp","Lgals3bp",3
"Cant1","Cant1",2
"C1qtnf1","C1qtnf1",0
"Engase","Engase",2
"Rbfox3","Rbfox3",1
"Cbx2","Cbx2",1
"Cbx8","Cbx8",2
"Cbx4","Cbx4",0
"Tbc1d16","Tbc1d16",0
"Ccdc40","Ccdc40",1
"Gaa","Gaa",3
"Eif4a3","Eif4a3",5
"Oxsr1","Oxsr1",1
"Sgsh","Sgsh",5
"Slc26a11","Slc26a11",4
"Rnf213","Rnf213",0
"Endov","Endov",3
"Nptx1","Nptx1",1
"Rptor","Rptor",1
"Chmp6","Chmp6",5
"Baiap2","Baiap2",6
"Myd88","Myd88",1
"Aatk","Aatk",10
"Cep131","Cep131",1
"Tepsin","Tepsin",6
"Ndufaf8","Ndufaf8",0
"Slc38a10","Slc38a10",2
"LOC110598858","LOC110598858",1
"Bahcc1","Bahcc1",1
"Actg1","Actg1",2
"Fscn2","Fscn2",3
"ACAA1_gene1537","ACAA1_gene1537",0
"Faap100","Faap100",5
"Nploc4","Nploc4",5
"Oxld1","Oxld1",1
"Ccdc137","Ccdc137",3
"Arl16","Arl16",2
"Hgs","Hgs",5
"Mrpl12","Mrpl12",2
"Slc25a10","Slc25a10",2
"Xylb","Xylb",15
"Mcrip1","Mcrip1",2
"Ppp1r27","Ppp1r27",1
"P4hb","P4hb",2
"Arhgdia","Arhgdia",2
"Alyref","Alyref",5
"Anapc11","Anapc11",2
"LOC110598859","LOC110598859",3
"Npb","Npb",0
"Pcyt2","Pcyt2",2
"Acvr2b","Acvr2b",1
"Sirt7","Sirt7",1
"Mafg","Mafg",3
"Pycr1","Pycr1",2
"Myadml2","Myadml2",3
"LOC110598860","LOC110598860",0
"Notum","Notum",0
"Aspscr1","Aspscr1",1
"Cenpx","Cenpx",0
"Lrrc45","Lrrc45",1
"Rac3","Rac3",2
"Acvr2a","Acvr2a",1
"Exog","Exog",3
"DCXR_like","DCXR_like",0
"Rfng","Rfng",15
"Gps1","Gps1",7
"Dus1l","Dus1l",3
"Fasn","Fasn",1
"Ccdc57","Ccdc57",4
"LOC110598861","LOC110598861",0
"Slc16a3","Slc16a3",5
"Csnk1d","Csnk1d",6
"Scn5a","Scn5a",1
"LOC110598862","LOC110598862",1
"Sectm1","Sectm1",2
"LOC106145117","LOC106145117",0
"Rnasek","Rnasek",7
"CUNH17orf49","CUNH17orf49",1
"Bcl6b","Bcl6b",5
"Slc16a13","Slc16a13",3
"Slc16a11","Slc16a11",1
"Asgr1","Asgr1",1
"Dlg4","Dlg4",7
"Acadvl","Acadvl",1
"Dvl2","Dvl2",1
"Phf23","Phf23",1
"Gabarap","Gabarap",2
"Ctdnep1","Ctdnep1",1
"Scn11a","Scn11a",5
"Elp5","Elp5",1
"Slc2a4","Slc2a4",0
"Eif5a","Eif5a",2
"Gps2","Gps2",0
"Neurl4","Neurl4",3
"Kctd11","Kctd11",0
"Wdr48","Wdr48",2
"Plscr3","Plscr3",0
"Tmem256","Tmem256",1
"Nlgn2","Nlgn2",3
"Fgf11","Fgf11",4
"Chrnb1","Chrnb1",0
"Gorasp1","Gorasp1",4
"Zbtb4","Zbtb4",2
"Polr2a","Polr2a",0
"Tnfsf12","Tnfsf12",6
"Tnfsf13","Tnfsf13",3
"Senp3","Senp3",0
"Eif4a1","Eif4a1",5
"Cd68","Cd68",1
"Mpdu1","Mpdu1",5
"Sox15","Sox15",1
"Ttc21a","Ttc21a",1
"Fxr2","Fxr2",3
"Sat2","Sat2",3
"Atp1b2","Atp1b2",4
"Tp53","Tp53",4
"Wrap53","Wrap53",1
"Efnb3","Efnb3",15
"Dnah2","Dnah2",4
"Kdm6b","Kdm6b",1
"Tmem88","Tmem88",0
"Csrnp1","Csrnp1",1
"Naa38","Naa38",2
"CYB5D1","CYB5D1",1
"LOC110598868","LOC110598868",2
"Chd3","Chd3",4
"RNF227_like","RNF227_like",3
"Kcnab3","Kcnab3",5
"Trappc1","Trappc1",1
"Cntrob","Cntrob",1
"Gucy2d","Gucy2d",0
"Aloxe3","Aloxe3",2
"Hes7","Hes7",0
"Cx3cr1","Cx3cr1",3
"Per1","Per1",5
"Vamp2","Vamp2",4
"Tmem107","Tmem107",0
"Borcs6","Borcs6",5
"Ctc1","Ctc1",3
"Pfas","Pfas",5
"Rangrf","Rangrf",2
"Slc25a35","Slc25a35",3
"Slc25a38","Slc25a38",5
"Arhgef15","Arhgef15",6
"RPL37A_containing_gene15522","RPL37A_containing_gene15522",0
"Rpl26","Rpl26",1
"Ndel1","Ndel1",2
"Myh10","Myh10",4
"Mfsd6l","Mfsd6l",5
"Rpsa","Rpsa",2
"Pik3r6","Pik3r6",0
"Pik3r5","Pik3r5",0
"Ntn1","Ntn1",3
"Stx8","Stx8",1
"Cfap52","Cfap52",3
"Usp43","Usp43",1
"Glp2r","Glp2r",0
"Mobp","Mobp",8
"Gas7","Gas7",1
"Myh13","Myh13",0
"MYH1","MYH1",0
"SCO1_like","SCO1_like",0
"Adprm","Adprm",0
"Tmem220","Tmem220",5
"Myrip","Myrip",4
"Pirt","Pirt",4
"SHISA6_containing","SHISA6_containing",1
"Shisa6","Shisa6",2
"Dnah9","Dnah9",5
"Znf18","Znf18",0
"Map2k4","Map2k4",4
"Myocd","Myocd",2
"Arhgap44","Arhgap44",7
"Eif1b","Eif1b",6
"Elac2","Elac2",3
"Fyco1","Fyco1",1
"CCR5","CCR5",1
"Entpd3","Entpd3",1
"Als2cl","Als2cl",1
"Tmie","Tmie",5
"Rpl14","Rpl14",2
"Pth1r","Pth1r",5
"Ccdc12","Ccdc12",1
"Nbeal2","Nbeal2",0
"Znf619","Znf619",2
"Setd2","Setd2",5
"Kif9","Kif9",6
"Klhl18","Klhl18",1
"LOC101961563","LOC101961563",2
"Ptpn23","Ptpn23",5
"Scap","Scap",3
"Elp6","Elp6",2
"Cspg5","Cspg5",6
"Smarcc1","Smarcc1",2
"ZNF621_like","ZNF621_like",1
"Dhx30","Dhx30",11
"Map4","Map4",4
"Cdc25a","Cdc25a",1
"CAMP_like","CAMP_like",0
"ZNF20_like","ZNF20_like",1
"Znf14","Znf14",1
"Atp13a1","Atp13a1",1
"Gmip","Gmip",2
"Lpar2","Lpar2",3
"Pbx4","Pbx4",0
"RPL21_gene15619","RPL21_gene15619",1
"Cilp2","Cilp2",1
"Yjefn3","Yjefn3",2
"Ndufa13","Ndufa13",1
"Gatad2a","Gatad2a",3
"Mau2","Mau2",1
"Sugp1","Sugp1",4
"Tm6sf2","Tm6sf2",0
"Hapln4","Hapln4",4
"Ncan","Ncan",2
"Ctnnb1","Ctnnb1",2
"Nr2c2ap","Nr2c2ap",2
"Rfxank","Rfxank",5
"Borcs8","Borcs8",1
"Tmem161a","Tmem161a",0
"Slc25a42","Slc25a42",6
"Armc6","Armc6",2
"Sugp2","Sugp2",6
"Homer3","Homer3",0
"Ddx49","Ddx49",1
"Ulk4","Ulk4",2
"Cope","Cope",2
"Cers1","Cers1",1
"Gdf1","Gdf1",0
"Upf1","Upf1",3
