unique_gene_symbol,hy_imp,med_imp,fore_imp,hy_rank,med_rank,fore_rank
Tmem215,4.5136115621282374e-5,0,0,6331,12575.5,12501
Ccdc40,4.513252344711138e-5,1.9619396249890135e-4,3.636730463062316e-5,6332,1175,7317
Nop56,4.51178935051815e-5,9.925606550640789e-5,6.926810401087976e-5,6333,3289,4672
Serpinb1,4.511691945097221e-5,2.216761886232601e-5,2.4290718262263556e-5,6334,10168,9231
Fam135b,4.51137136974969e-5,2.290530909216181e-5,1.5223877822469805e-5,6335,10040,10995
Ermn,4.510905235289139e-5,3.1649256731566285e-4,6.708128280385865e-5,6336,120,4782
Ak9,4.51073247262869e-5,0,0,6337,12575.5,12501
Mtus1,4.5105259846816504e-5,3.947390878249154e-5,1.8406135072157658e-5,6338,7466,10294
R3hdm4,4.507877045438007e-5,2.377724893520217e-5,1.687401847238531e-5,6339,9882,10640
Abcf2,4.5070543788709564e-5,8.629366483231435e-5,3.182024796753477e-5,6340,3824,7959
Src,4.506648461872886e-5,1.5717535573940617e-5,1.2899362719747951e-5,6341,11432,11503
Naa60,4.506631778413931e-5,3.943088035263557e-5,1.556577829732693e-5,6342,7473,10907
Rab11fip5,4.505629729391021e-5,9.05171683429695e-5,1.0251179786094265e-4,6343,3625,3351
Lypd1,4.505168153454629e-5,4.101198541584789e-5,1.0803161244262948e-4,6344,7291,3165
Abcb8,4.50463008890255e-5,6.406826476026616e-5,1.7479593234628488e-5,6345,5180,10494
CDK14_like,4.5036438400544464e-5,1.1217307809240876e-4,1.3731429962067523e-4,6346,2924,2331
Idua,4.503332160536886e-5,1.7802581215493618e-5,5.005132685580772e-5,6347,11055,5966
Arhgef26,4.502976981884201e-5,9.20470978030346e-5,3.41078736613564e-5,6348,3554,7631
Pknox2,4.5028726522773044e-5,5.384938092508492e-5,1.9345669685593626e-4,6349,5996,1434
Doc2a,4.502233191801346e-5,1.034434051585704e-4,2.1682591686670207e-5,6350,3148,9660
Cand2,4.5021598573122405e-5,5.063815859722376e-5,4.930011440685036e-5,6351,6292,6046
CUNH1orf105,4.501111044727794e-5,1.9127872823337033e-4,1.1180926659531463e-4,6352,1254,3047
VASP_like,4.498943119046984e-5,5.781749995679729e-5,2.8742105174721437e-5,6353,5632,8444
Ppp1r15b,4.49730740015663e-5,5.0553764332884435e-5,9.099968678192086e-5,6354,6299,3683
Pde8a,4.495847226117344e-5,2.5467144549358836e-5,9.996653981873627e-6,6355,9598,11851
Nagpa,4.495724715786484e-5,3.667084542394564e-5,2.9105875302791978e-5,6356,7824,8366
Cxcl12,4.4957092726910883e-5,8.682690798468603e-5,6.105614013515106e-5,6357,3798,5173
Arhgap23,4.494761687450499e-5,6.667076061465658e-5,1.2986893444225333e-5,6358,5014,11496
Enc1,4.494513402266044e-5,2.3557920990461234e-5,1.8689684880910732e-4,6359,9922,1508
Cmya5,4.4934128704001247e-5,9.509267227344957e-5,2.3636573210526342e-5,6360,3448,9328
Nelfa,4.492953525115631e-5,3.1172481080996355e-5,5.418186497319245e-5,6361,8636,5625
Fam131c,4.4925249236854395e-5,1.802630005445022e-5,1.9690779596288637e-5,6362,11010,10038
Plscr5,4.492175086344551e-5,0,0,6363,12575.5,12501
Dolk,4.490675011413591e-5,1.8552325359800893e-4,1.3236443191144318e-4,6364,1381,2474
Haus6,4.490486660087145e-5,2.9772551350376022e-5,4.9769356162632485e-5,6365,8869,5999
Brinp1,4.4902656035127906e-5,3.468520883234238e-5,5.038674644458177e-5,6366,8115,5940
Mycbp2,4.489573768774715e-5,2.687439355081442e-5,7.97837130139225e-5,6367,9362,4103
Mfap3l,4.489324171181235e-5,1.5195487728257952e-5,4.517058675465691e-5,6368,11532,6424
Ccdc114,4.489208954503223e-5,7.573380418701174e-5,0,6369,4480,12501
Slc25a53,4.488831733685042e-5,3.0159018040252086e-5,2.685738946621232e-4,6370,8798,716
Ankrd52,4.4874478554127096e-5,4.710142899751812e-5,8.725079918873112e-5,6371,6679,3802
Asb18,4.485206413061327e-5,0,1.9100613195551153e-4,6372,12575.5,1474
Rpl32,4.485196147792371e-5,2.9739771102158072e-5,2.8820960550843664e-5,6373,8876,8421
Clock,4.484638384906314e-5,9.952398922044648e-6,2.392554016648095e-5,6374,12061,9293
Tspyl5,4.483944339208219e-5,1.3257763037082714e-5,3.5149603147767054e-5,6375,11818,7482
Snu13,4.483447676484566e-5,6.373330314196226e-5,1.3181061821589848e-4,6376,5205,2492
Parp6,4.480238664763887e-5,8.887414588533142e-5,4.10933042620851e-5,6377,3698,6806
Crot,4.479798270925186e-5,3.257640618223397e-5,2.3682712982534152e-5,6378,8428,9321
Epg5,4.478718152742729e-5,5.112056894163553e-5,2.6502688360159865e-4,6379,6248,943
Fbxl6,4.478595006101573e-5,1.8551013497461516e-5,7.297219989465666e-5,6380,10908,4436
Qrich1,4.477754658644473e-5,5.310878721490079e-5,9.142992096316049e-5,6381,6073,3669
