"","gene","r","module_color","module_n"
"662","G26777",0.829231175244161,"blue",2
"663","G26902",0.508601743874965,"green",5
"664","G2696",0.434192612850536,"blue",2
"665","G2704",0.916871875461843,"blue",2
"666","CACUL1_like",0.831843434204523,"brown",3
"667","TUNAR_like",0.491892231332567,"black",7
"668","G27163",0.739708717421069,"blue",2
"669","G2720",0.691892750969439,"magenta",9
"670","BTBD7_containing_G27229",0.926674564359821,"blue",2
"671","G27259",0.664477528630235,"blue",2
"672","G27318",0.773242542481413,"blue",2
"673","G27324",0.77633436851892,"blue",2
"674","ANKRD34B_containing",0.647625538989289,"blue",2
"675","FOXN3_like",0.51028623943572,"brown",3
"676","KCNK13_containing",0.738540174885426,"salmon",13
"677","STON2_containing",0.710492691511644,"brown",3
"678","FLRT2_like",0.863288450662121,"blue",2
"679","G27380",0.410639484754317,"turquoise",1
"680","SPTLC2_like",0.466816310207162,"blue",2
"681","G27449",0.462452538101574,"green",5
"682","MTX3_containing",-0.259752889621575,"grey",0
"683","G27480",0.491899495865093,"midnightblue",15
"684","HMGB1_G27518",0.433805914366286,"turquoise",1
"685","G27537",0.511315815732206,"brown",3
"686","SUMO2_like_G27640",0.15843214924506,"grey",0
"687","JPH4",0.57094896426953,"turquoise",1
"688","ARHGAP5",0.774977575197844,"red",6
"689","G27745",0.547506983171144,"green",5
"690","NPAS3_G27748",0.811047583746,"green",5
"691","NPAS3_G27751",0.677448170994674,"green",5
"692","SSTR1",0.725905017104425,"red",6
"693","KLHL28_like",0.843048407369273,"blue",2
"694","G27940",0.929699977720526,"blue",2
"695","G27977",0.6531865642085,"purple",10
"696","G28000",0.769274586169642,"blue",2
"697","TMEM106B_containing_G28013",0.669717943749803,"blue",2
"698","KCNH5_containing",0.752164186668638,"red",6
"699","G28043",0.764536768014465,"red",6
"700","G28066",0.686957046561729,"turquoise",1
"701","SET_G28096",0.418861030008922,"turquoise",1
"702","SET_G28100",0.390904603331046,"turquoise",1
"703","G28107",0.635523894398121,"greenyellow",11
"704","G28109",0.526521253915158,"magenta",9
"705","DAAM1",0.598400732466194,"purple",10
"706","G28173",0.904732322231027,"blue",2
"707","G28190",0.481017017794552,"red",6
"708","G28345",0.83987886012996,"red",6
"709","OIP5-AS1_like",0.912288180216404,"red",6
