"","gene","n","module_n","module_color"
"2170","Psenen",9,2,"blue"
"2171","Psma1",10,3,"brown"
"2172","Psma3",67,3,"brown"
"2173","Psma4",59,3,"brown"
"2174","Psma5",14,3,"brown"
"2175","Psma6",14,3,"brown"
"2176","Psma7",89,3,"brown"
"2177","Psmb1",32,3,"brown"
"2178","Psmb2",59,3,"brown"
"2179","Psmb3",21,2,"blue"
"2180","Psmb4",56,3,"brown"
"2181","Psmb5",48,2,"blue"
"2182","Psmb6",161,2,"blue"
"2183","Psmb7",132,2,"blue"
"2184","Psmc1",19,3,"brown"
"2185","Psmc2",48,3,"brown"
"2186","Psmc4",7,3,"brown"
"2187","Psmc6",27,3,"brown"
"2188","Psmd12",20,3,"brown"
"2189","Psmd13",78,3,"brown"
"2190","Psmd14",14,6,"red"
"2191","Psmd2",112,3,"brown"
"2192","Psmd3",17,3,"brown"
"2193","Psmd4",14,3,"brown"
"2194","Psmd5",4,5,"green"
"2195","Psmd6",31,3,"brown"
"2196","Psmd7",29,3,"brown"
"2197","Psmd8",72,3,"brown"
"2198","Psmd9",19,3,"brown"
"2199","Psme1",17,2,"blue"
"2200","Psmg4",3,2,"blue"
"2201","PTAR1_containing",344,1,"turquoise"
"2202","PTBP3_like",36,1,"turquoise"
"2203","Ptcd1",250,1,"turquoise"
"2204","Ptch1",142,1,"turquoise"
"2205","Ptdss2",4,2,"blue"
"2206","Ptgds",4,16,"lightcyan"
"2207","Ptges2",9,3,"brown"
"2208","Ptgr2",25,4,"yellow"
"2209","Ptov1",4,2,"blue"
"2210","Ptp4a2",33,3,"brown"
"2211","Ptpa",56,2,"blue"
"2212","Ptpn1",40,1,"turquoise"
"2213","Ptpn12",197,1,"turquoise"
"2214","Ptpn5",4,7,"black"
"2215","Ptpn9",6,1,"turquoise"
"2216","Ptprd",7,12,"tan"
"2217","Ptprg",23,2,"blue"
"2218","Ptprk",2,4,"yellow"
"2219","Ptprm",49,4,"yellow"
"2220","Ptprn2",3,11,"greenyellow"
"2221","Ptprt",7,4,"yellow"
"2222","Pttg1ip",23,3,"brown"
"2223","Puf60",31,2,"blue"
"2224","Purb",15,1,"turquoise"
"2225","Pwp1",10,3,"brown"
"2226","Pwwp2a",337,1,"turquoise"
"2227","Pxdn",21,4,"yellow"
"2228","Pycr2",26,3,"brown"
"2229","Pygo1",467,1,"turquoise"
"2230","Pygo2",147,1,"turquoise"
"2231","Qki",10,2,"blue"
"2232","Qrich1",118,2,"blue"
"2233","R3hcc1",61,2,"blue"
"2234","R3hcc1l",27,1,"turquoise"
"2235","R3hdm2",92,4,"yellow"
"2236","Rab10",57,3,"brown"
"2237","Rab11b",4,2,"blue"
"2238","Rab11fip1",137,1,"turquoise"
"2239","Rab11fip2",172,1,"turquoise"
"2240","Rab1b",30,2,"blue"
"2241","Rab21",16,5,"green"
"2242","Rab23",151,1,"turquoise"
"2243","RAB30_containing",68,18,"lightgreen"
"2244","Rab35",8,5,"green"
"2245","Rab3a",5,7,"black"
"2246","RAB3C_containing_gene3505",2,17,"grey60"
"2247","Rab40c",20,1,"turquoise"
"2248","Rab4a",12,2,"blue"
"2249","Rab4b",36,2,"blue"
"2250","Rab5b",7,6,"red"
"2251","Rab5c",150,2,"blue"
"2252","Rab6a",3,6,"red"
"2253","Rab6b",1,10,"purple"
"2254","Rab7a",6,2,"blue"
"2255","Rab8b",13,5,"green"
"2256","Rabac1",7,2,"blue"
"2257","Rabep1",5,14,"cyan"
"2258","Rabl2b",3,2,"blue"
"2259","Rabl3",3,11,"greenyellow"
"2260","RABL3_containing",213,2,"blue"
"2261","Rabl6",16,4,"yellow"
"2262","Rack1",59,2,"blue"
"2263","Rad23a",20,2,"blue"
"2264","Rad23b",13,5,"green"
"2265","Rae1",16,3,"brown"
"2266","Rala",18,5,"green"
"2267","Ralbp1",14,5,"green"
"2268","Ralgapa1",2,4,"yellow"
"2269","Ralgps1",85,1,"turquoise"
"2270","Ramp3",4,2,"blue"
"2271","Ranbp10",20,1,"turquoise"
"2272","RAP1B",2,1,"turquoise"
"2273","Rapgef5",20,18,"lightgreen"
"2274","Rapgef6",4,4,"yellow"
"2275","Raph1",5,1,"turquoise"
"2276","Rars",4,5,"green"
"2277","Rars2",6,4,"yellow"
"2278","Rasa1",322,1,"turquoise"
"2279","Rasa3",10,3,"brown"
"2280","Rasd1",10,1,"turquoise"
"2281","Rasip1",6,2,"blue"
"2282","Rasl10b",2,2,"blue"
"2283","Rasl11b",220,1,"turquoise"
"2284","Rassf1",32,1,"turquoise"
"2285","Rassf2",6,13,"salmon"
"2286","Rassf5",107,1,"turquoise"
"2287","Raver2",3,8,"pink"
"2288","Rbbp5",14,1,"turquoise"
"2289","RBBP7",25,3,"brown"
"2290","Rbfox1",4,7,"black"
"2291","Rbl2",432,1,"turquoise"
"2292","Rbm10",13,1,"turquoise"
"2293","Rbm12b",32,1,"turquoise"
"2294","Rbm14",52,1,"turquoise"
"2295","Rbm18",3,5,"green"
"2296","Rbm25",15,4,"yellow"
"2297","Rbm27",8,5,"green"
"2298","Rbm33",22,2,"blue"
"2299","Rbm39",12,1,"turquoise"
"2300","RBM4_like",81,1,"turquoise"
"2301","Rbm42",2,5,"green"
"2302","RBM4B",158,1,"turquoise"
"2303","Rbmx",295,1,"turquoise"
"2304","Rbpj",82,1,"turquoise"
"2305","Rbsn",23,5,"green"
"2306","Rc3h1",1,2,"blue"
"2307","Rcan2",2,9,"magenta"
"2308","Rcc1",7,1,"turquoise"
"2309","Rcc1l",228,1,"turquoise"
"2310","Rcor1",19,1,"turquoise"
"2311","Reep1",15,3,"brown"
"2312","Reep2",18,2,"blue"
"2313","Reep3",13,12,"tan"
"2314","Rell2",8,7,"black"
"2315","Rer1",37,3,"brown"
"2316","Retreg2",74,2,"blue"
"2317","Rev3l",3,1,"turquoise"
"2318","Rexo4",4,1,"turquoise"
"2319","Rffl",11,1,"turquoise"
"2320","Rftn2",2,18,"lightgreen"
"2321","Rfwd3",548,1,"turquoise"
"2322","Rfx2",24,2,"blue"
"2323","Rfx7",4,1,"turquoise"
"2324","Rfxap",437,1,"turquoise"
"2325","Rgcc",7,1,"turquoise"
"2326","Rgl3",2,2,"blue"
"2327","Rgma",297,2,"blue"
"2328","Rgs11",21,11,"greenyellow"
"2329","Rgs2",346,1,"turquoise"
"2330","Rgs8",3,8,"pink"
"2331","Rhbdd2",5,2,"blue"
"2332","Rhbdd3",3,4,"yellow"
"2333","Rheb",5,6,"red"
"2334","Rhoa",81,3,"brown"
"2335","Rhog",4,12,"tan"
"2336","Rhpn2",2,1,"turquoise"
"2337","Rictor",2,1,"turquoise"
"2338","Rif1",106,1,"turquoise"
"2339","Rin2",275,1,"turquoise"
"2340","Riok3",5,3,"brown"
"2341","Rlbp1",6,2,"blue"
"2342","Rlim",33,1,"turquoise"
"2343","Rmnd1",3,3,"brown"
"2344","Rmnd5a",14,5,"green"
"2345","Rnd2",23,8,"pink"
"2346","Rnf10",21,6,"red"
"2347","Rnf111",212,1,"turquoise"
"2348","Rnf114",48,1,"turquoise"
"2349","Rnf115",122,3,"brown"
"2350","Rnf121",3,1,"turquoise"
"2351","Rnf123",6,7,"black"
"2352","Rnf130",21,1,"turquoise"
"2353","Rnf145",4,5,"green"
"2354","Rnf149",8,1,"turquoise"
"2355","Rnf187",5,7,"black"
"2356","Rnf20",5,3,"brown"
"2357","Rnf219",33,1,"turquoise"
"2358","Rnf24",48,1,"turquoise"
"2359","Rnf26",47,2,"blue"
"2360","Rnf32",46,4,"yellow"
"2361","Rnf34",2,1,"turquoise"
"2362","Rnf4",35,5,"green"
"2363","Rnf40",8,5,"green"
"2364","Rnft2",35,4,"yellow"
"2365","Rnh1",89,3,"brown"
"2366","Rnpep",22,3,"brown"
"2367","Robo2",13,4,"yellow"
"2368","Rogdi",6,7,"black"
