"","gene","n","module_n","module_color"
"821","CUNH5orf15",28,1,"turquoise"
"822","CUNH5orf30",3,3,"brown"
"823","CUNH6orf106",8,9,"magenta"
"824","CUNH6orf203",3,23,"darkturquoise"
"825","CUNH6orf222",30,3,"brown"
"826","CUNH8orf59",3,1,"turquoise"
"827","CUNH9orf24",3,8,"pink"
"828","CUNH9orf3",120,2,"blue"
"829","CUNH9orf78",3,1,"turquoise"
"830","CUNH9orf85",14,6,"red"
"831","Cuta",42,8,"pink"
"832","Cux1",7,2,"blue"
"833","Cux2",139,9,"magenta"
"834","Cwc22",2,1,"turquoise"
"835","Cx3cl1",105,9,"magenta"
"836","Cxadr",3,3,"brown"
"837","CYB561D1_containing",42,9,"magenta"
"838","CYB5A_containing",5,1,"turquoise"
"839","CYB5B_like",3,1,"turquoise"
"840","CYB5R1",8,1,"turquoise"
"841","CYB5R3_like",8,8,"pink"
"842","CYB5R4",3,6,"red"
"843","CYB5RL_like",33,1,"turquoise"
"844","CYBA_like",4,8,"pink"
"845","CYC1_like",55,1,"turquoise"
"846","CYCS_gene22737",32,1,"turquoise"
"847","Cyfip2",5,11,"greenyellow"
"848","CYP2J2_like",48,5,"green"
"849","CYP46A1",208,2,"blue"
"850","CYP51A1_like",48,10,"purple"
"851","CYP7B1",3,20,"royalblue"
"852","CYSTM1",7,26,"darkorange"
"853","Cyth1",29,2,"blue"
"854","Cyth3",35,2,"blue"
"855","Dab2ip",2,17,"grey60"
"856","Dact2",53,2,"blue"
"857","Dact3",9,9,"magenta"
"858","Dad1",22,1,"turquoise"
"859","Dagla",18,11,"greenyellow"
"860","Dapk1",7,2,"blue"
"861","Dars",46,1,"turquoise"
"862","Daxx",14,2,"blue"
"863","Dazap2",236,1,"turquoise"
"864","Dbi",99,1,"turquoise"
"865","Dbn1",59,2,"blue"
"866","Dbndd2",102,1,"turquoise"
"867","Dcaf1",141,2,"blue"
"868","Dcaf11",3,8,"pink"
"869","Dcaf12",103,2,"blue"
"870","Dcaf13",81,1,"turquoise"
"871","Dcaf6",52,3,"brown"
"872","Dcaf7",7,7,"black"
"873","Dcaf8",16,1,"turquoise"
"874","Dclk1",99,3,"brown"
"875","Dclre1a",34,4,"yellow"
"876","Dcp1a",198,4,"yellow"
"877","Dctn1",6,8,"pink"
"878","Dctn2",9,1,"turquoise"
"879","Dctn3",27,1,"turquoise"
"880","Dctn4",9,1,"turquoise"
"881","Dctn6",30,1,"turquoise"
"882","Dcun1d1",31,6,"red"
"883","Dcun1d3",185,4,"yellow"
"884","Ddb1",8,19,"lightyellow"
"885","Ddn",209,3,"brown"
"886","Ddr1",19,5,"green"
"887","Ddx1",170,1,"turquoise"
"888","Ddx17",9,2,"blue"
"889","Ddx25",16,1,"turquoise"
"890","Decr1",92,1,"turquoise"
"891","Degs1",160,10,"purple"
"892","Dek",3,6,"red"
"893","Dennd4b",20,2,"blue"
"894","Dennd4c",8,30,"steelblue"
"895","Dennd5a",16,5,"green"
"896","Dennd6b",4,11,"greenyellow"
"897","Derl1",33,1,"turquoise"
"898","Dffb",65,2,"blue"
"899","Dfna5",48,1,"turquoise"
"900","Dgat2",73,3,"brown"
"901","Dgcr2",4,1,"turquoise"
"902","Dgcr8",80,2,"blue"
"903","Dgkb",18,3,"brown"
"904","Dgkd",49,2,"blue"
"905","DGKE_like_G33871",16,6,"red"
"906","Dgkh",14,29,"saddlebrown"
"907","Dgki",2,3,"brown"
"908","Dgkq",6,12,"tan"
"909","Dgkz",219,3,"brown"
"910","Dguok",6,1,"turquoise"
"911","Dhdds",5,19,"lightyellow"
"912","Dhps",3,1,"turquoise"
"913","Dhrs11",58,5,"green"
"914","DHRS4_like",6,1,"turquoise"
"915","Dhrs7",102,1,"turquoise"
"916","Dhx16",67,2,"blue"
"917","Dhx30",2,8,"pink"
"918","Dhx33",22,4,"yellow"
"919","Dhx36",65,1,"turquoise"
"920","Diaph2",18,3,"brown"
"921","Dido1",18,2,"blue"
"922","Dip2a",14,12,"tan"
"923","Dip2b",8,0,"grey"
"924","Dip2c",20,7,"black"
"925","DIPK2A_like",173,4,"yellow"
"926","Diras1",1,15,"midnightblue"
"927","Diras2",99,3,"brown"
"928","Diras3",24,5,"green"
"929","DIRC2_like",7,1,"turquoise"
"930","Dis3",13,4,"yellow"
"931","Disp2",5,22,"darkgreen"
"932","Disp3",93,9,"magenta"
"933","Dixdc1",235,4,"yellow"
"934","Dkk4",3,1,"turquoise"
"935","Dld",120,1,"turquoise"
"936","Dlg2",60,3,"brown"
"937","Dlg3",96,3,"brown"
"938","Dlg4",5,9,"magenta"
"939","Dlg5",28,0,"grey"
"940","Dlgap1",199,3,"brown"
"941","DLGAP2_containing_gene16838",56,3,"brown"
"942","DLGAP2_containing_gene16841",40,3,"brown"
"943","DLGAP2_like_gene16840",69,11,"greenyellow"
"944","Dlgap3",119,9,"magenta"
