"","topcorgene","module_color","module_n","module_genes","membership"
"290","Lats2","cyan",14,173,0.904479321362484
"291","POU3F3_like","cyan",14,173,0.894430834801039
"292","Mid1ip1","cyan",14,173,0.890739441479147
"293","Enpp4","cyan",14,173,0.884845323329875
"294","Prickle1","cyan",14,173,0.883481883830927
"295","Zeb2","cyan",14,173,0.882523799489145
"296","Sass6","cyan",14,173,0.879055583433529
"297","Trim59","cyan",14,173,0.877428355602161
"298","Shroom4","cyan",14,173,0.875739461963439
"299","Ell2","cyan",14,173,0.872814822486801
"300","Sh3tc2","cyan",14,173,0.869912390841307
"301","Gnao1","midnightblue",15,161,0.944144534762478
"302","TMSB4X_G3417","midnightblue",15,161,0.940017725308193
"303","Pla2g16","midnightblue",15,161,0.91226395929138
"304","Rassf2","midnightblue",15,161,0.900102131636344
"305","TF","midnightblue",15,161,0.897247489470558
"306","Hadh","midnightblue",15,161,0.890744483136381
"307","Myo1d","midnightblue",15,161,0.889466921888721
"308","Cercam","midnightblue",15,161,0.883998093592943
"309","Gsn","midnightblue",15,161,0.877639621227194
"310","Fez1","midnightblue",15,161,0.877495450177293
"311","Bcas1","midnightblue",15,161,0.874929117179116
"312","Myrf","midnightblue",15,161,0.87077920669941
"313","Fgf1","midnightblue",15,161,0.868627970720564
"314","Dnm2","midnightblue",15,161,0.867290335759952
"315","Dbndd2","midnightblue",15,161,0.864508014387865
"316","Psat1","midnightblue",15,161,0.860909470689271
"317","Fbxo7","midnightblue",15,161,0.860438844582732
"318","Adh7","midnightblue",15,161,0.857142825635275
"319","Cdc42bpg","midnightblue",15,161,0.856885826955613
"320","Hip1","midnightblue",15,161,0.853986800179395
"321","Slc6a13","lightcyan",16,140,0.966880986724274
"322","Slc13a4","lightcyan",16,140,0.945352849673831
"323","Serpind1","lightcyan",16,140,0.917754790452623
"324","Fn1","lightcyan",16,140,0.900692117422299
"325","Crabp2","lightcyan",16,140,0.894422973847321
"326","Adgra2","lightcyan",16,140,0.89144931338404
"327","Isyna1","lightcyan",16,140,0.890886431791105
"328","Colec12","lightcyan",16,140,0.888142717575503
"329","Col1a2","lightcyan",16,140,0.875785286107089
"330","Ptgds","lightcyan",16,140,0.874357406745751
"331","Slc22a6","lightcyan",16,140,0.870214127602438
"332","Clec3b","lightcyan",16,140,0.870078506409263
"333","Aebp1","lightcyan",16,140,0.865334769737104
"334","Slc13a3","lightcyan",16,140,0.855697449164286
"335","Emilin1","lightcyan",16,140,0.849597065165284
"336","Pcolce","lightcyan",16,140,0.848970252286036
"337","Pear1","lightcyan",16,140,0.847402701893628
"338","Slc22a8","lightcyan",16,140,0.846088494868116
"339","Mpzl2","lightcyan",16,140,0.843134583541144
"340","Igf2","lightcyan",16,140,0.842351301362201
"341","Slc38a3","grey60",17,123,0.913803248999521
"342","Clu","grey60",17,123,0.905657790093228
"343","Sirpa","grey60",17,123,0.883071407996852
"344","Cadm4","grey60",17,123,0.88122009150679
"345","Gprc5b","grey60",17,123,0.878678889624507
"346","Lgi3","grey60",17,123,0.87569945550874
