"","gene","n","module_n","module_color"
"417","Bptf",297,1,"turquoise"
"418","Braf",36,6,"red"
"419","Brap",7,2,"blue"
"420","Brcc3",6,2,"blue"
"421","Brd1",21,1,"turquoise"
"422","Brd2",3,1,"turquoise"
"423","Brd3",185,1,"turquoise"
"424","BRD3OS_containing",3,9,"magenta"
"425","Brd4",7,3,"brown"
"426","Brd9",42,2,"blue"
"427","Brf1",63,2,"blue"
"428","Brinp1",3,2,"blue"
"429","Brk1",19,4,"yellow"
"430","Brpf1",22,1,"turquoise"
"431","Brpf3",3,1,"turquoise"
"432","Brwd1",22,6,"red"
"433","Brwd3",25,1,"turquoise"
"434","Bscl2",113,2,"blue"
"435","Bsdc1",4,2,"blue"
"436","Bsg",43,2,"blue"
"437","Bsn",80,3,"brown"
"438","Btaf1",64,1,"turquoise"
"439","Btbd2",14,9,"magenta"
"440","Btbd7",120,1,"turquoise"
"441","Btf3",14,4,"yellow"
"442","Btf3l4",11,0,"grey"
"443","Btg1",47,7,"black"
"444","Btrc",111,3,"brown"
"445","Bud23",31,2,"blue"
"446","Bzw1",27,2,"blue"
"447","BZW1_gene16941",12,3,"brown"
"448","C1qbp",37,2,"blue"
"449","C1qtnf5",18,12,"tan"
"450","Ca11",9,11,"greenyellow"
"451","Ca2",33,12,"tan"
"452","CABCOCO1_like",9,4,"yellow"
"453","Cables1",4,1,"turquoise"
"454","Cabp1",10,4,"yellow"
"455","Cacna1c",2,8,"pink"
"456","Cacna1e",7,10,"purple"
"457","Cacna2d1",3,3,"brown"
"458","Cacna2d2",17,3,"brown"
"459","Cacnb4",40,6,"red"
"460","Cacng3",20,2,"blue"
"461","Cacng8",4,1,"turquoise"
"462","Cacul1",75,1,"turquoise"
"463","Cadm2",42,3,"brown"
"464","Cadm4",16,4,"yellow"
"465","Cadps",48,3,"brown"
"466","Calb2",4,2,"blue"
"467","Cald1",2,1,"turquoise"
"468","Calm2",11,4,"yellow"
"469","Caly",34,9,"magenta"
"470","Camk1d",6,3,"brown"
"471","Camk2b",26,3,"brown"
"472","Camk2d",20,3,"brown"
"473","Camk2g",13,6,"red"
"474","Camlg",4,2,"blue"
"475","Camsap2",13,1,"turquoise"
"476","Camta1",55,3,"brown"
"477","Cand1",16,3,"brown"
"478","Cant1",22,2,"blue"
"479","Canx",21,17,"grey60"
"480","Cap1",4,2,"blue"
"481","Capn1",3,26,"darkorange"
"482","Capn15",10,10,"purple"
"483","Capns1",61,4,"yellow"
"484","Caprin1",94,3,"brown"
"485","Capza1",20,3,"brown"
"486","Capza2",20,2,"blue"
"487","Capzb",179,2,"blue"
"488","Carf",4,6,"red"
"489","Carhsp1",47,7,"black"
"490","Carmil2",4,14,"cyan"
"491","Carmil3",4,8,"pink"
"492","Carns1",6,13,"salmon"
"493","Casc3",6,19,"lightyellow"
"494","Cask",13,6,"red"
"495","Caskin2",14,10,"purple"
"496","Casp8ap2",185,1,"turquoise"
"497","Cast",5,23,"darkturquoise"
"498","Castor1",3,5,"green"
"499","Castor2",2,7,"black"
"500","Cbfa2t2",104,3,"brown"
"501","Cbl",187,1,"turquoise"
"502","Cbll1",152,1,"turquoise"
"503","Cbx5",9,1,"turquoise"
"504","Cbx7",12,5,"green"
"505","Cc2d1a",3,13,"salmon"
"506","Ccdc107",14,7,"black"
"507","Ccdc114",30,12,"tan"
"508","Ccdc115",68,2,"blue"
"509","Ccdc117",208,1,"turquoise"
"510","Ccdc124",5,4,"yellow"
"511","Ccdc13",5,1,"turquoise"
"512","Ccdc136",8,2,"blue"
"513","Ccdc141",21,1,"turquoise"
"514","Ccdc159",7,8,"pink"
"515","Ccdc167",40,4,"yellow"
"516","CCDC183_like",5,5,"green"
"517","Ccdc186",29,1,"turquoise"
"518","Ccdc25",5,2,"blue"
"519","Ccdc47",15,0,"grey"
"520","Ccdc66",3,1,"turquoise"
"521","Ccdc88a",12,6,"red"
"522","Ccdc92",48,9,"magenta"
"523","Ccdc93",188,1,"turquoise"
"524","Ccdc97",4,7,"black"
"525","Ccer2",5,5,"green"
"526","Cckbr",42,2,"blue"
"527","Ccng2",155,1,"turquoise"
"528","Ccnl1",7,4,"yellow"
"529","Ccnl2",9,7,"black"
"530","Ccnt1",31,1,"turquoise"
"531","Ccnt2",137,1,"turquoise"
"532","Ccp110",210,1,"turquoise"
"533","Ccpg1",3,6,"red"
"534","Ccser2",130,3,"brown"
"535","Cct3",6,14,"cyan"
"536","Cct8",5,2,"blue"
"537","Ccz1",6,2,"blue"
"538","Cd109",7,6,"red"
"539","Cd151",8,11,"greenyellow"
"540","Cd200",7,3,"brown"
"541","Cd2ap",5,6,"red"
"542","Cd46",45,1,"turquoise"
"543","Cd47",25,3,"brown"
"544","Cd63",10,2,"blue"
"545","Cd81",42,11,"greenyellow"
"546","Cd83",92,2,"blue"
"547","Cd99l2",6,2,"blue"
"548","Cdc23",5,1,"turquoise"
"549","Cdc27",39,3,"brown"
"550","Cdc37",272,2,"blue"
"551","Cdc40",67,1,"turquoise"
"552","Cdc42",5,2,"blue"
"553","Cdc42bpa",46,3,"brown"
"554","Cdc42ep3",19,1,"turquoise"
"555","Cdh18",6,15,"midnightblue"
"556","Cdh20",137,1,"turquoise"
"557","Cdh3",15,12,"tan"
"558","Cdh7",52,3,"brown"
"559","Cdip1",136,2,"blue"
"560","Cdipt",29,2,"blue"
"561","Cdk10",3,26,"darkorange"
"562","Cdk12",124,1,"turquoise"
"563","Cdk13",55,1,"turquoise"
"564","Cdk14",119,3,"brown"
"565","Cdk16",8,26,"darkorange"
"566","Cdk17",38,1,"turquoise"
"567","Cdk2ap1",4,4,"yellow"
"568","Cdk5",80,2,"blue"
"569","CDK5R1",66,3,"brown"
"570","Cdk5r2",4,9,"magenta"
"571","Cdk5rap3",14,4,"yellow"
"572","Cdk9",14,26,"darkorange"
"573","Cdkal1",4,2,"blue"
"574","Cdkn1a",3,12,"tan"
"575","CDKN1C",5,4,"yellow"
"576","Cdr2",26,12,"tan"
"577","Cds2",5,3,"brown"
"578","Cdyl2",23,1,"turquoise"
"579","Cebpa",12,7,"black"
"580","Cebpzos",3,4,"yellow"
"581","CECR2",129,1,"turquoise"
"582","Celf2",17,1,"turquoise"
"583","Celsr2",8,3,"brown"
"584","Celsr3",8,8,"pink"
"585","Cend1",159,2,"blue"
"586","Cenpc",8,1,"turquoise"
"587","Cenpv",3,14,"cyan"
"588","Cep126",32,3,"brown"
"589","Cep131",3,8,"pink"
"590","Cep135",32,1,"turquoise"
"591","Cep164",5,10,"purple"
"592","Cep170",247,1,"turquoise"
"593","Cep250",10,5,"green"
"594","Cep290",3,1,"turquoise"
"595","Cep295",39,1,"turquoise"
"596","Cep350",315,1,"turquoise"
"597","Cep85",2,1,"turquoise"
"598","Cep85l",13,6,"red"
"599","Cers2",6,5,"green"
"600","Cers6",52,3,"brown"
"601","CES1_like_gene2223",4,5,"green"
"602","Cetn2",14,2,"blue"
"603","Cetn3",4,4,"yellow"
