"","gene","n","module_n","module_color"
"890","Folh1b",12,11,"greenyellow"
"891","Fos",4,0,"grey"
"892","Fosb",7,2,"blue"
"893","Foxo3",67,1,"turquoise"
"894","Foxo4",6,9,"magenta"
"895","Frat1",4,5,"green"
"896","Fryl",8,1,"turquoise"
"897","Fsd1",5,10,"purple"
"898","Fsd1l",10,1,"turquoise"
"899","FSTL5_like_gene23539",20,9,"magenta"
"900","Ftl",11,8,"pink"
"901","Ftsj1",35,1,"turquoise"
"902","Fubp1",76,1,"turquoise"
"903","Fubp3",12,8,"pink"
"904","Fuk",4,4,"yellow"
"905","Fut10",3,1,"turquoise"
"906","Fut11",328,1,"turquoise"
"907","Fut4",202,1,"turquoise"
"908","Fuz",6,9,"magenta"
"909","Fxr1",54,1,"turquoise"
"910","Fyco1",74,1,"turquoise"
"911","Fzd2",6,9,"magenta"
"912","FZD2_containing",13,9,"magenta"
"913","Fzd4",75,1,"turquoise"
"914","Fzd8",118,1,"turquoise"
"915","G10411",9,0,"grey"
"916","G10437",11,5,"green"
"917","G10440",5,7,"black"
"918","G10765",15,4,"yellow"
"919","G10822",249,1,"turquoise"
"920","G10853",333,1,"turquoise"
"921","G10904",183,1,"turquoise"
"922","G10915",301,1,"turquoise"
"923","G10917",4,9,"magenta"
"924","G10933",3,9,"magenta"
"925","G10934",11,4,"yellow"
"926","G11198",5,0,"grey"
"927","G11653",7,2,"blue"
"928","G12077",13,1,"turquoise"
"929","G12081",168,1,"turquoise"
"930","G1232",11,0,"grey"
"931","G12421",369,1,"turquoise"
"932","G12628",8,2,"blue"
"933","G13044",3,2,"blue"
"934","G13145",3,2,"blue"
"935","G13329",29,5,"green"
"936","G13352",15,1,"turquoise"
"937","G13487",67,1,"turquoise"
"938","G13711",22,2,"blue"
"939","G13793",11,17,"grey60"
"940","G13856",10,9,"magenta"
"941","G1404",66,2,"blue"
"942","G14142",9,11,"greenyellow"
"943","G14318",374,2,"blue"
"944","G14323",31,1,"turquoise"
"945","G14485",17,1,"turquoise"
"946","G14765",104,2,"blue"
"947","G14950",524,1,"turquoise"
"948","G15157",22,2,"blue"
"949","G15243",3,22,"darkgreen"
"950","G15262",3,22,"darkgreen"
"951","G15282",171,1,"turquoise"
"952","G1554",378,1,"turquoise"
"953","G15737",20,4,"yellow"
"954","G16110",3,5,"green"
"955","G1619",4,1,"turquoise"
