"","gene","n","module_n","module_color"
"1974","Hgs",2,12,"tan"
"1975","Hibadh",122,3,"brown"
"1976","Hif1a",10,32,"violet"
"1977","Hif1an",43,10,"purple"
"1978","Higd1a",26,8,"pink"
"1979","Hilpda",42,1,"turquoise"
"1980","Hint1",14,13,"salmon"
"1981","Hip1r",9,2,"blue"
"1982","Hipk2",3,26,"darkorange"
"1983","Hipk3",29,6,"red"
"1984","Hirip3",6,1,"turquoise"
"1985","HIST1H1C_containing",54,2,"blue"
"1986","HIST1H1E_containing",4,2,"blue"
"1987","Hivep2",28,4,"yellow"
"1988","Hivep3",7,20,"royalblue"
"1989","Hk2",5,1,"turquoise"
"1990","Hmbox1",4,16,"lightcyan"
"1991","Hmg20a",11,4,"yellow"
"1992","Hmgb1",7,2,"blue"
"1993","HMGB1_G26487",52,11,"greenyellow"
"1994","HMGB1_gene8864",3,2,"blue"
"1995","Hmgb2",3,3,"brown"
"1996","HMGN2_containing_G6277",7,2,"blue"
"1997","Hmgn3",3,8,"pink"
"1998","Hmgxb3",12,1,"turquoise"
"1999","Hmox2",98,2,"blue"
"2000","Hnrnpd",7,2,"blue"
"2001","Hnrnpf",13,10,"purple"
"2002","Hnrnph3",13,1,"turquoise"
"2003","Hnrnpk",35,3,"brown"
"2004","Hnrnpl",29,2,"blue"
"2005","Hnrnpll",5,11,"greenyellow"
"2006","HNRNPR_containing",17,14,"cyan"
"2007","Hnrnpul1",10,2,"blue"
"2008","Hoga1",35,2,"blue"
"2009","Homer1",12,4,"yellow"
"2010","Hook1",3,18,"lightgreen"
"2011","Hook3",4,17,"grey60"
"2012","Hopx",10,4,"yellow"
"2013","Hpca",106,4,"yellow"
"2014","Hpcal4",92,4,"yellow"
"2015","HPCAL4_like",131,4,"yellow"
"2016","HPF1_gene8837",11,3,"brown"
"2017","Hprt1",9,0,"grey"
"2018","Hrh3",15,1,"turquoise"
"2019","HRK_containing",5,4,"yellow"
"2020","Hs3st2",18,4,"yellow"
"2021","Hs3st4",62,4,"yellow"
"2022","Hs6st3",76,4,"yellow"
"2023","Hsbp1",35,11,"greenyellow"
"2024","Hsbp1l1",6,3,"brown"
"2025","HSD17B11_G10065",5,11,"greenyellow"
"2026","Hsdl2",53,3,"brown"
"2027","Hspa13",32,8,"pink"
"2028","HSPA14_like",216,1,"turquoise"
"2029","Hspa2",5,4,"yellow"
"2030","Hspa9",37,7,"black"
"2031","Hspb6",11,7,"black"
"2032","Hspe1",7,3,"brown"
"2033","Htatsf1",81,3,"brown"
"2034","Htr7",13,5,"green"
"2035","Htt",15,20,"royalblue"
"2036","Icam5",208,4,"yellow"
"2037","Ick",45,1,"turquoise"
"2038","Id2",7,22,"darkgreen"
"2039","ID4",11,3,"brown"
"2040","Idh2",29,2,"blue"
"2041","Idh3a",52,8,"pink"
"2042","Idh3b",105,2,"blue"
"2043","Idh3g",120,2,"blue"
"2044","Ids",3,11,"greenyellow"
"2045","Idua",7,23,"darkturquoise"
"2046","Ier5",13,1,"turquoise"
"2047","Iffo2",6,1,"turquoise"
"2048","Ifnar1",4,2,"blue"
"2049","Ifrd2",105,1,"turquoise"
"2050","Ift172",4,23,"darkturquoise"
"2051","Ift74",42,2,"blue"
"2052","Ift80",6,3,"brown"
"2053","Ift81",46,2,"blue"
"2054","Igdcc4",3,16,"lightcyan"
"2055","Igf1r",76,1,"turquoise"
"2056","Igf2r",13,1,"turquoise"
"2057","Iglon5",8,34,"darkmagenta"
"2058","Igsf22",5,1,"turquoise"
"2059","Ik",6,2,"blue"
"2060","Ikzf4",202,1,"turquoise"
"2061","Il12rb2",4,31,"paleturquoise"
"2062","Il16",86,4,"yellow"
"2063","Il18",13,2,"blue"
"2064","Il34",5,4,"yellow"
"2065","Il6r",3,1,"turquoise"
"2066","Immt",22,2,"blue"
"2067","Impa1",16,3,"brown"
"2068","Impact",21,2,"blue"
"2069","Impad1",5,8,"pink"
"2070","Inf2",4,4,"yellow"
"2071","Ing2",70,1,"turquoise"
"2072","Ing4",87,1,"turquoise"
"2073","ING5_containing_G32775",152,1,"turquoise"
"2074","Ino80c",3,3,"brown"
"2075","Ino80d",12,21,"darkred"
"2076","Inpp4a",8,4,"yellow"
"2077","Inpp5f",4,25,"orange"
"2078","INPP5F",17,3,"brown"
"2079","Inpp5k",42,2,"blue"
"2080","Insm1",98,1,"turquoise"
"2081","Insr",169,1,"turquoise"
"2082","Ints11",3,7,"black"
"2083","Ints13",3,1,"turquoise"
"2084","Ip6k2",25,1,"turquoise"
"2085","Ipcef1",21,4,"yellow"
"2086","Ipo13",29,2,"blue"
"2087","Ipo5",6,15,"midnightblue"
"2088","Ipp",21,3,"brown"
"2089","Iqsec2",16,31,"paleturquoise"
"2090","Irak1",3,2,"blue"
"2091","Irak2",13,1,"turquoise"
"2092","Ireb2",50,1,"turquoise"
"2093","Irf1",47,1,"turquoise"
"2094","Irf2",128,1,"turquoise"
"2095","Irf2bp1",3,2,"blue"
"2096","Irf2bp2",31,1,"turquoise"
"2097","Irs1",59,1,"turquoise"
"2098","Isca1",86,3,"brown"
"2099","Iscu",112,2,"blue"
"2100","Isg20l2",4,1,"turquoise"
"2101","Islr2",188,4,"yellow"
"2102","Isoc1",28,3,"brown"
"2103","Isoc2",22,3,"brown"
"2104","Ispd",29,3,"brown"
"2105","Ist1",1,18,"lightgreen"
