"","gene","module_n","module_color"
"220","G11412",11,"greenyellow"
"221","PGRMC2_like_G11440",24,"darkgrey"
"222","CTNNA3_containing",7,"black"
"223","TET1_containing",11,"greenyellow"
"224","KCNA6_G11483",4,"yellow"
"225","G11513",10,"purple"
"226","G11535",23,"darkturquoise"
"227","G11537",1,"turquoise"
"228","G11542",14,"cyan"
"229","G11572",3,"brown"
"230","G11577",0,"grey"
"231","G11630",4,"yellow"
"232","G11647",1,"turquoise"
"233","G11653",13,"salmon"
"234","G11663",5,"green"
"235","SYT3_like",1,"turquoise"
"236","G11727",21,"darkred"
"237","G11742",21,"darkred"
"238","G11761",0,"grey"
"239","CACNG8_containing",18,"lightgreen"
"240","G11769",2,"blue"
"241","G11787",11,"greenyellow"
"242","ZNF331_containing",24,"darkgrey"
"243","G11838",4,"yellow"
"244","G11862",18,"lightgreen"
"245","G11865",11,"greenyellow"
"246","G11885",2,"blue"
"247","DDX50",3,"brown"
"248","ZNF415_containing",3,"brown"
"249","ZNF83_containing_G11891",11,"greenyellow"
"250","G11897",1,"turquoise"
"251","G11899",0,"grey"
"252","CEBPG_containing",13,"salmon"
"253","ANK3_like",9,"magenta"
"254","G11953",21,"darkred"
"255","FXYD7",15,"midnightblue"
"256","G11979",0,"grey"
"257","FTH1_G11993",19,"lightyellow"
"258","G12011",1,"turquoise"
"259","ZNF260_containing_G12038",11,"greenyellow"
"260","MORF4L1_G12041",1,"turquoise"
"261","G12058",3,"brown"
"262","G12081",3,"brown"
"263","G12096",7,"black"
"264","G12119",19,"lightyellow"
"265","ZNF793_containing_G12143",3,"brown"
"266","G12155",5,"green"
"267","G12251",5,"green"
"268","G12252",5,"green"
"269","G1230",23,"darkturquoise"
"270","G1232",0,"grey"
"271","G12328",1,"turquoise"
"272","G1234",0,"grey"
"273","G12343",5,"green"
"274","G12344",3,"brown"
"275","G12354",0,"grey"
"276","ASAH2",1,"turquoise"
"277","G12370",21,"darkred"
"278","G12413",4,"yellow"
"279","G12421",3,"brown"
"280","PTEN_containing",1,"turquoise"
"281","MYPOP",3,"brown"
"282","G12563",20,"royalblue"
"283","G12593",21,"darkred"
"284","G12596",0,"grey"
"285","G12601",1,"turquoise"
"286","G12628",1,"turquoise"
"287","G12638",14,"cyan"
"288","G1274",3,"brown"
"289","G12793",25,"orange"
"290","G12808",21,"darkred"
"291","G12810",21,"darkred"
"292","SYT3",9,"magenta"
"293","G1289",1,"turquoise"
"294","RBM39_G12912",19,"lightyellow"
"295","G12914",0,"grey"
"296","G12918",0,"grey"
"297","ECE1",0,"grey"
"298","G12939",10,"purple"
"299","G12941",0,"grey"
"300","G12968",7,"black"
"301","G13005",0,"grey"
"302","DRGX",9,"magenta"
"303","G13022",21,"darkred"
"304","G13044",1,"turquoise"
"305","G13109",1,"turquoise"
"306","G13115",9,"magenta"
"307","G13145",10,"purple"
"308","MAF",27,"white"
"309","G13237",5,"green"
"310","MAF_containing",2,"blue"
"311","H3F3AP4_like",0,"grey"
"312","G13252",22,"darkgreen"
"313","G13276",12,"tan"
"314","G13286",1,"turquoise"
"315","HSPBAP1_containing",2,"blue"
"316","G13329",11,"greenyellow"
"317","G13334",0,"grey"
"318","NFAT5_containing",3,"brown"
"319","G13352",4,"yellow"
"320","G13372",3,"brown"
"321","G1341",0,"grey"
"322","RPS12",1,"turquoise"
"323","G1346",19,"lightyellow"
"324","G13487",3,"brown"
"325","HSP90AA1_G13491",10,"purple"
"326","GOT2_G13506",1,"turquoise"
"327","G13527",12,"tan"
"328","MIR138-2_containing",3,"brown"
"329","NUDT21_containing",12,"tan"
"330","G136",3,"brown"
"331","G1366",9,"magenta"
"332","G13691",1,"turquoise"
"333","G13693",0,"grey"
"334","ZNF25",19,"lightyellow"
"335","WSB2",9,"magenta"
"336","G13731",1,"turquoise"
"337","G13762",1,"turquoise"
"338","G13788",26,"darkorange"
"339","G13793",3,"brown"
"340","OGA_like",19,"lightyellow"
"341","FZD3_containing",4,"yellow"
"342","G13817",0,"grey"
"343","G13823",22,"darkgreen"
"344","G1383",4,"yellow"
"345","G1385",7,"black"
"346","G13856",9,"magenta"
"347","G13857",1,"turquoise"
"348","G13867",2,"blue"
"349","ADRA1A_containing",9,"magenta"
"350","G13871",6,"red"
"351","PPP2R2A_like",15,"midnightblue"
"352","EBF2",0,"grey"
"353","G13880",1,"turquoise"
"354","STMN4",0,"grey"
"355","G13897",0,"grey"
"356","NKX3-1_containing",0,"grey"
"357","SLC25A37_containing_G13922",5,"green"
"358","SLC25A37_containing_G13931",10,"purple"
"359","G1400",5,"green"
"360","G14010",11,"greenyellow"
"361","G14011",7,"black"
"362","G14015",9,"magenta"
"363","G1404",1,"turquoise"
"364","G14044",24,"darkgrey"
"365","G14066",5,"green"
"366","G14086",0,"grey"
"367","G14093",9,"magenta"
"368","G14132",1,"turquoise"
"369","GOT2_G14137",6,"red"
"370","GOT2_G14138",2,"blue"
"371","G1414",0,"grey"
"372","G14142",22,"darkgreen"
"373","G14149",6,"red"
"374","G142",9,"magenta"
"375","PCM1_like",1,"turquoise"
"376","ZDHHC2_containing",1,"turquoise"
"377","G14228",11,"greenyellow"
"378","SLC25A52",23,"darkturquoise"
"379","G1425",7,"black"
"380","G14269",1,"turquoise"
"381","G1427",5,"green"
"382","G14285",13,"salmon"
"383","TIPARP_like",1,"turquoise"
"384","G14300",0,"grey"
"385","G14311",13,"salmon"
"386","RNF170_containing",12,"tan"
"387","G14317",0,"grey"
"388","G14318",13,"salmon"
"389","G14323",4,"yellow"
"390","G14332",1,"turquoise"
"391","HOOK3_containing",5,"green"
"392","G1437",11,"greenyellow"
"393","G14390",19,"lightyellow"
"394","G14402",1,"turquoise"
"395","G14405",15,"midnightblue"
"396","G14430",20,"royalblue"
"397","UNC5D_G14446",6,"red"
"398","G14463",1,"turquoise"
"399","G14478",0,"grey"
"400","HSPH1",11,"greenyellow"
"401","G14485",17,"grey60"
"402","G14494",2,"blue"
"403","G1454",11,"greenyellow"
"404","G1456",11,"greenyellow"
"405","G14595",23,"darkturquoise"
"406","G14634",21,"darkred"
"407","NCAM2_like",1,"turquoise"
"408","G1465",7,"black"
"409","ZNF717_containing_G1466",16,"lightcyan"
"410","G14733",3,"brown"
"411","G14765",13,"salmon"
"412","G14771",5,"green"
"413","ITSN1",7,"black"
"414","G14773",5,"green"
"415","G14778",11,"greenyellow"
"416","G14839",1,"turquoise"
"417","G14852",1,"turquoise"
"418","KCNJ6_containing",2,"blue"
"419","G14901",3,"brown"
"420","G1491",11,"greenyellow"
"421","SLC7A5",0,"grey"
"422","G14935",21,"darkred"
"423","G14937",11,"greenyellow"
"424","G14946",5,"green"
"425","PKNOX1_containing",3,"brown"
"426","G14950",3,"brown"
"427","G14955",0,"grey"
"428","G14966",7,"black"
"429","G14978",0,"grey"
"430","G14983",2,"blue"
"431","G14984",1,"turquoise"
"432","FOXN3",2,"blue"
"433","G15023",9,"magenta"
"434","G15035",1,"turquoise"
"435","G15044",5,"green"
"436","G15052",0,"grey"
"437","G15071",21,"darkred"
"438","G15084",25,"orange"
"439","TTC3_G15091",23,"darkturquoise"
"440","KBTBD8_containing",7,"black"
"441","FRMD4B",5,"green"
"442","FRMD4B_like",0,"grey"
"443","G15124",1,"turquoise"
"444","FAM19A1_containing",0,"grey"
"445","SUCLG2_like",13,"salmon"
"446","G15132",1,"turquoise"
"447","G15133",11,"greenyellow"
"448","MITF",16,"lightcyan"
"449","ARL6IP5_like",1,"turquoise"
"450","G15142",16,"lightcyan"
"451","EOGT_containing",0,"grey"
"452","G1515",13,"salmon"
"453","MITF_like_G15154",0,"grey"
"454","GXYLT2_containing",4,"yellow"
"455","PPP4R2_G15164",4,"yellow"
"456","RYBP_like",4,"yellow"
"457","CRIPT",1,"turquoise"
"458","G15172",1,"turquoise"
"459","G15176",7,"black"
"460","G15190",0,"grey"
"461","GPR27_containing",1,"turquoise"
"462","PDZRN3_like",0,"grey"
"463","SHQ1_like",1,"turquoise"
"464","ID4_like",10,"purple"
"465","CNTN3_like",17,"grey60"
"466","CNTN4",1,"turquoise"
"467","G15242",0,"grey"
"468","G15243",0,"grey"
"469","LRRN1_containing",0,"grey"
"470","G15262",0,"grey"
"471","STMN4_like_G15263",0,"grey"
"472","G15264",0,"grey"
"473","SETD5",21,"darkred"
"474","G1528",8,"pink"
"475","G15282",3,"brown"
"476","EIF4E3",13,"salmon"
"477","EIF4E3_containing",1,"turquoise"
"478","G15308",1,"turquoise"
"479","SLC6A1_like",1,"turquoise"
"480","G15316",5,"green"
"481","G15334",0,"grey"
"482","G15379",7,"black"
"483","G15418",0,"grey"
"484","G15432",0,"grey"
"485","G15443",0,"grey"
"486","G15448",9,"magenta"
"487","KLF15_like",7,"black"
"488","G15462",7,"black"
"489","G15528",9,"magenta"
"490","G15533",7,"black"
"491","G1559",13,"salmon"
"492","G15609",9,"magenta"
"493","G15616",0,"grey"
"494","G15624",20,"royalblue"
"495","G15637",1,"turquoise"
"496","G15675",7,"black"
"497","G15705",0,"grey"
"498","G15717",28,"skyblue"
"499","G15718",3,"brown"
"500","G1572",0,"grey"
"501","G15726",0,"grey"
"502","G15737",5,"green"
"503","G15748",5,"green"
"504","G15771",11,"greenyellow"
"505","G15785",11,"greenyellow"
"506","G1579",3,"brown"
"507","G15859",0,"grey"
"508","BRAF_containing",2,"blue"
"509","G15924",1,"turquoise"
"510","KIAA1549_containing",0,"grey"
"511","DGKI_containing",0,"grey"
"512","UBN2_containing",11,"greenyellow"
"513","G15997",9,"magenta"
"514","G16023",1,"turquoise"
"515","COPG2IT1_containing",0,"grey"
"516","G16076",11,"greenyellow"
"517","G16077",18,"lightgreen"
"518","G16078",0,"grey"
"519","G1608",0,"grey"
"520","PPP2R5E_containing",11,"greenyellow"
"521","G16100",1,"turquoise"
"522","G16101",9,"magenta"
"523","RUNDC3B_G16103",6,"red"
"524","G16110",9,"magenta"
"525","G16112",5,"green"
"526","CDK14_like",6,"red"
"527","G16157",3,"brown"
"528","CDK6_like",0,"grey"
"529","G1619",3,"brown"
"530","CREBRF_like",3,"brown"
"531","G16245",1,"turquoise"
"532","G16246",2,"blue"
"533","G16308",7,"black"
"534","G16319",8,"pink"
"535","G16351",22,"darkgreen"
"536","G16353",11,"greenyellow"
"537","G16369",6,"red"
"538","G1638",7,"black"
"539","SYPL1_G16407",1,"turquoise"
"540","G16409",1,"turquoise"
"541","NAMPT_G16421",1,"turquoise"
"542","KMT2E-AS1_containing",3,"brown"
"543","G16444",3,"brown"
"544","G16448",3,"brown"
"545","G16456",21,"darkred"
"546","G16470",0,"grey"
"547","MAGI2_G16473",9,"magenta"
"548","MAGI2_G16481",25,"orange"
"549","G16490",3,"brown"
"550","GNAI1",9,"magenta"
"551","G16510",0,"grey"
"552","PNPLA8_containing",19,"lightyellow"
"553","G16535",5,"green"
"554","HDAC9_containing",7,"black"
"555","TMEM196_like",1,"turquoise"
"556","G16576",3,"brown"
"557","G1658",1,"turquoise"
"558","G16591",0,"grey"
"559","WIPF3_containing",0,"grey"
"560","SCRN1_G16600",2,"blue"
"561","SCRN1_containing",0,"grey"
"562","G1661",11,"greenyellow"
"563","MIR218-2_containing",7,"black"
"564","G16631",0,"grey"
"565","CREB5_like",0,"grey"
"566","HMGN2_G1669",1,"turquoise"
"567","G16694",11,"greenyellow"
"568","G16696",7,"black"
"569","PLEKHA8_like",3,"brown"
"570","MTURN_like",9,"magenta"
"571","G16707",3,"brown"
"572","G16708",5,"green"
"573","G16715",5,"green"
"574","G16716",0,"grey"
"575","G16730",2,"blue"
"576","G16735",14,"cyan"
"577","G16741",7,"black"
"578","PDE1C_containing",9,"magenta"
"579","G16749",5,"green"
"580","G16769",3,"brown"
"581","G16779",1,"turquoise"
"582","G16780",0,"grey"
"583","RP9_containing_G16781",19,"lightyellow"
"584","G16788",24,"darkgrey"
"585","G16798",15,"midnightblue"
"586","G16799",0,"grey"
"587","CDK13_G16806",19,"lightyellow"
"588","GLI3_containing",9,"magenta"
"589","G1686",4,"yellow"
"590","G16864",0,"grey"
"591","G16868",8,"pink"
"592","G16883",1,"turquoise"
"593","IGFBP3",0,"grey"
"594","G16892",9,"magenta"
"595","G16932",4,"yellow"
"596","G16940",0,"grey"
"597","G16943",9,"magenta"
"598","G16982",0,"grey"
"599","G16987",0,"grey"
"600","G17041",0,"grey"
"601","G17052",9,"magenta"
"602","G17053",19,"lightyellow"
"603","MTMR3_like",9,"magenta"
"604","G17062",9,"magenta"
"605","G17099",7,"black"
"606","G17106",21,"darkred"
"607","G17114",10,"purple"
"608","G17128",7,"black"
"609","PIK3IP1",18,"lightgreen"
"610","PRR14L_containing",7,"black"
"611","G17174",5,"green"
"612","G17189",1,"turquoise"
"613","G1720",3,"brown"
"614","EPS15_like",9,"magenta"
"615","G17258",3,"brown"
"616","G17259",4,"yellow"
"617","G17260",4,"yellow"
"618","G17265",0,"grey"
"619","G17358",2,"blue"
"620","AACSP1_containing",3,"brown"
"621","G17390",13,"salmon"
"622","SRSF3_G17416",3,"brown"
"623","G17438",9,"magenta"
"624","G1744",10,"purple"
"625","G17473",11,"greenyellow"
"626","G17483",3,"brown"
"627","PTMA_G17509",1,"turquoise"
"628","CYFIP2_like",9,"magenta"
"629","G17521",22,"darkgreen"
"630","G17524",7,"black"
"631","G1760",3,"brown"
"632","G17612",1,"turquoise"
"633","SGCD_like",9,"magenta"
"634","G1768",17,"grey60"
"635","G17682",7,"black"
"636","G17705",8,"pink"
"637","MSI1",1,"turquoise"
"638","G17766",1,"turquoise"
"639","G17788",7,"black"
"640","ZRANB1_containing",1,"turquoise"
"641","MED13L_containing",9,"magenta"
"642","HRK_containing",3,"brown"
"643","NOS1_containing",1,"turquoise"
"644","KSR2_containing",1,"turquoise"
"645","G17880",0,"grey"
"646","G17908",13,"salmon"
"647","G17918",14,"cyan"
"648","G17952",1,"turquoise"
"649","SETD1B",3,"brown"
"650","G1796",0,"grey"
"651","G17997",5,"green"
"652","G1801",0,"grey"
"653","G18040",1,"turquoise"
"654","G18055",9,"magenta"
"655","G18056",15,"midnightblue"
"656","G18059",0,"grey"
"657","G1807",13,"salmon"
"658","G1808",2,"blue"
"659","G18088",5,"green"
"660","G18092",5,"green"
"661","G18108",4,"yellow"
"662","G18159",5,"green"
"663","PRICKLE2_containing",2,"blue"
"664","G18188",4,"yellow"
"665","G18189",11,"greenyellow"
"666","G18195",4,"yellow"
"667","G18201",3,"brown"
"668","PTPRG",25,"orange"
"669","G18229",14,"cyan"
"670","G18286",3,"brown"
"671","G18312",5,"green"
"672","SAR1B_containing",8,"pink"
"673","GALNT15_containing",7,"black"
"674","SATB1_containing",7,"black"
"675","GPR26_containing",4,"yellow"
"676","G18401",1,"turquoise"
"677","ZNF385D_containing",22,"darkgreen"
"678","G18429",0,"grey"
"679","GPD1L_like",15,"midnightblue"
"680","G18437",0,"grey"
"681","DYNC1LI1_like",1,"turquoise"
"682","G18448",22,"darkgreen"
"683","G1848",1,"turquoise"
"684","G18513",9,"magenta"
"685","ACVR2B_G18537",3,"brown"
"686","G18539",3,"brown"
"687","G18541",0,"grey"
"688","G18564",11,"greenyellow"
"689","G18565",0,"grey"
"690","G18567",11,"greenyellow"
"691","G18568",1,"turquoise"
"692","G18604",18,"lightgreen"
"693","G18608",11,"greenyellow"
"694","G18618",0,"grey"
"695","G18625",4,"yellow"
"696","G18628",3,"brown"
"697","G18649",3,"brown"
"698","G18650",4,"yellow"
"699","G18658",8,"pink"
"700","G18664",11,"greenyellow"
"701","G18681",11,"greenyellow"
"702","G18683",7,"black"
"703","G1870",0,"grey"
"704","G18717",0,"grey"
"705","G18718",11,"greenyellow"
"706","SMARCC1",19,"lightyellow"
"707","G18732",19,"lightyellow"
"708","G1874",11,"greenyellow"
"709","G18761",6,"red"
"710","KIF3A_containing",19,"lightyellow"
"711","G18839",20,"royalblue"
"712","G18840",9,"magenta"
"713","G18849",9,"magenta"
"714","G18884",3,"brown"
"715","G18897",2,"blue"
"716","ACSL6_containing",1,"turquoise"
"717","TPM4_containing",7,"black"
"718","G18972",7,"black"
"719","G18986",3,"brown"
"720","G18994",1,"turquoise"
"721","G19025",25,"orange"
"722","CACNA1A_G19039",7,"black"
"723","G1906",1,"turquoise"
"724","G19100",5,"green"
"725","G19121",1,"turquoise"
"726","G19134",1,"turquoise"
"727","ELAVL3",15,"midnightblue"
"728","G19156",1,"turquoise"
"729","BZW1_G19170",1,"turquoise"
"730","G19192",3,"brown"
"731","G19206",3,"brown"
"732","G1921",19,"lightyellow"
"733","G19213",9,"magenta"
"734","G19238",19,"lightyellow"
"735","G19239",0,"grey"
"736","ZNF558_like_G19266",4,"yellow"
"737","ZNF699_like_G19270",4,"yellow"
"738","G19271",3,"brown"
"739","ZNF699_like_G19278",18,"lightgreen"
"740","ELAVL1_like",2,"blue"
"741","CDK2AP1",1,"turquoise"
"742","G19377",7,"black"
"743","G19445",10,"purple"
"744","SEMA6B",1,"turquoise"
"745","G19494",7,"black"
"746","ZBTB7A_containing_G19495",3,"brown"
"747","G19496",3,"brown"
"748","G19501",1,"turquoise"
"749","ZBTB7A_containing_G19503",11,"greenyellow"
"750","G19535",10,"purple"
"751","G19626",3,"brown"
"752","G19650",14,"cyan"
"753","G19709",0,"grey"
"754","G19727",10,"purple"
"755","G19738",21,"darkred"
"756","G19748",0,"grey"
"757","G19766",1,"turquoise"
"758","G19793",7,"black"
"759","TNS1_G19812",10,"purple"
"760","G19813",9,"magenta"
"761","G19817",7,"black"
"762","G19820",0,"grey"
"763","RNF130_containing",24,"darkgrey"
"764","G19878",11,"greenyellow"
"765","G19881",0,"grey"
"766","G19915",7,"black"
"767","G19923",7,"black"
"768","G19936",7,"black"
"769","G19937",3,"brown"
"770","G19941",4,"yellow"
"771","G19946",3,"brown"
"772","ZNF625_containing_G19950",5,"green"
"773","ZNF844_containing_G19951",0,"grey"
"774","G19955",0,"grey"
"775","G19960",1,"turquoise"
"776","NLGN4X_containing",1,"turquoise"
"777","ZNF354C_containing",3,"brown"
"778","ZNF124_containing_G20029",4,"yellow"
"779","G20032",5,"green"
"780","G20077",0,"grey"
"781","G20184",5,"green"
"782","G20217",0,"grey"
"783","G20233",0,"grey"
"784","UBE2N_G20235",1,"turquoise"
"785","UBE2N_like_G20236",17,"grey60"
"786","G20241",0,"grey"
"787","G20248",0,"grey"
"788","G20265",3,"brown"
"789","G20284",3,"brown"
"790","G20291",3,"brown"
"791","G2032",3,"brown"
"792","G20343",3,"brown"
"793","G20350",7,"black"
"794","G20354",1,"turquoise"
"795","G20356",27,"white"
"796","G20359",3,"brown"
"797","G20363",25,"orange"
"798","G20364",25,"orange"
"799","G20367",9,"magenta"
"800","G20368",7,"black"
"801","G2037",0,"grey"
"802","POLR2L_containing",1,"turquoise"
"803","G20435",1,"turquoise"
"804","GPRIN1",15,"midnightblue"
"805","G20504",22,"darkgreen"
"806","G2051",6,"red"
"807","G20513",0,"grey"
"808","G20518",21,"darkred"
"809","G20526",1,"turquoise"
"810","G20575",0,"grey"
"811","G20601",1,"turquoise"
"812","G20614",3,"brown"
